Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Tested
03/10/2020 12:00:00 AM,0,0,0,0,1
03/11/2020 12:00:00 AM,0,0,0,0,4
03/12/2020 12:00:00 AM,0,0,0,0,4
03/13/2020 12:00:00 AM,0,0,0,0,9
03/14/2020 12:00:00 AM,1,1,0,0,15
03/15/2020 12:00:00 AM,2,1,0,0,8
03/16/2020 12:00:00 AM,6,4,0,0,74
03/17/2020 12:00:00 AM,8,2,0,0,120
03/18/2020 12:00:00 AM,11,3,0,0,128
03/19/2020 12:00:00 AM,21,10,0,0,177
03/20/2020 12:00:00 AM,36,15,0,0,179
03/21/2020 12:00:00 AM,41,5,0,0,51
03/22/2020 12:00:00 AM,42,1,0,0,38
03/23/2020 12:00:00 AM,54,12,0,0,163
03/24/2020 12:00:00 AM,70,16,0,0,212
03/25/2020 12:00:00 AM,86,16,0,0,193
03/26/2020 12:00:00 AM,97,11,0,0,177
03/27/2020 12:00:00 AM,109,12,0,0,179
03/28/2020 12:00:00 AM,119,10,0,0,94
03/29/2020 12:00:00 AM,124,5,0,0,65
03/30/2020 12:00:00 AM,140,16,1,1,203
03/31/2020 12:00:00 AM,160,20,1,0,177
04/01/2020 12:00:00 AM,176,16,1,0,162
04/02/2020 12:00:00 AM,198,22,2,1,161
04/03/2020 12:00:00 AM,218,20,4,2,118
04/04/2020 12:00:00 AM,232,14,5,1,89
04/05/2020 12:00:00 AM,241,9,8,3,74
04/06/2020 12:00:00 AM,265,24,8,0,166
04/07/2020 12:00:00 AM,285,20,9,1,162
04/08/2020 12:00:00 AM,301,16,9,0,178
04/09/2020 12:00:00 AM,321,20,9,0,158
04/10/2020 12:00:00 AM,334,13,9,0,143
04/11/2020 12:00:00 AM,339,5,9,0,86
04/12/2020 12:00:00 AM,341,2,9,0,44
04/13/2020 12:00:00 AM,358,17,11,2,170
04/14/2020 12:00:00 AM,371,13,12,1,191
04/15/2020 12:00:00 AM,384,13,12,0,161
04/16/2020 12:00:00 AM,396,12,12,0,169
04/17/2020 12:00:00 AM,406,10,13,1,227
04/18/2020 12:00:00 AM,411,5,13,0,102
04/19/2020 12:00:00 AM,416,5,13,0,68
04/20/2020 12:00:00 AM,433,17,13,0,258
04/21/2020 12:00:00 AM,449,16,15,2,242
04/22/2020 12:00:00 AM,460,11,15,0,264
04/23/2020 12:00:00 AM,470,10,16,1,219
04/24/2020 12:00:00 AM,479,9,16,0,270
04/25/2020 12:00:00 AM,485,6,16,0,153
04/26/2020 12:00:00 AM,487,2,16,0,78
04/27/2020 12:00:00 AM,523,36,16,0,472
04/28/2020 12:00:00 AM,558,35,16,0,587
04/29/2020 12:00:00 AM,598,40,16,0,553
04/30/2020 12:00:00 AM,627,29,16,0,329
05/01/2020 12:00:00 AM,641,14,16,0,463
05/02/2020 12:00:00 AM,650,9,17,1,201
05/03/2020 12:00:00 AM,656,6,17,0,105
05/04/2020 12:00:00 AM,683,27,17,0,367
05/05/2020 12:00:00 AM,704,21,17,0,475
05/06/2020 12:00:00 AM,717,13,17,0,407
05/07/2020 12:00:00 AM,727,10,17,0,400
05/08/2020 12:00:00 AM,743,16,17,0,400
05/09/2020 12:00:00 AM,756,13,17,0,288
05/10/2020 12:00:00 AM,762,6,17,0,152
05/11/2020 12:00:00 AM,782,20,17,0,450
05/12/2020 12:00:00 AM,798,16,18,1,411
05/13/2020 12:00:00 AM,827,29,19,1,510
05/14/2020 12:00:00 AM,850,23,19,0,449
05/15/2020 12:00:00 AM,871,21,19,0,585
05/16/2020 12:00:00 AM,883,12,21,2,304
05/17/2020 12:00:00 AM,888,5,21,0,142
05/18/2020 12:00:00 AM,924,36,22,1,599
05/19/2020 12:00:00 AM,952,28,22,0,835
05/20/2020 12:00:00 AM,979,27,22,0,604
05/21/2020 12:00:00 AM,1014,35,22,0,613
05/22/2020 12:00:00 AM,1034,20,22,0,380
05/23/2020 12:00:00 AM,1038,4,23,1,223
05/24/2020 12:00:00 AM,1045,7,25,2,191
05/25/2020 12:00:00 AM,1053,8,25,0,161
05/26/2020 12:00:00 AM,1081,28,25,0,1093
05/27/2020 12:00:00 AM,1120,39,25,0,934
05/28/2020 12:00:00 AM,1146,26,26,1,709
05/29/2020 12:00:00 AM,1181,35,26,0,791
05/30/2020 12:00:00 AM,1279,98,26,0,699
05/31/2020 12:00:00 AM,1357,78,28,2,390
06/01/2020 12:00:00 AM,1386,29,29,1,776
06/02/2020 12:00:00 AM,1414,28,29,0,916
06/03/2020 12:00:00 AM,1447,33,30,1,872
06/04/2020 12:00:00 AM,1482,35,30,0,448
06/05/2020 12:00:00 AM,1524,42,30,0,744
06/06/2020 12:00:00 AM,1545,21,31,1,291
06/07/2020 12:00:00 AM,1554,9,32,1,186
06/08/2020 12:00:00 AM,1592,38,32,0,763
06/09/2020 12:00:00 AM,1639,47,32,0,1011
06/10/2020 12:00:00 AM,1662,23,32,0,685
06/11/2020 12:00:00 AM,1691,29,32,0,672
06/12/2020 12:00:00 AM,1733,42,32,0,675
06/13/2020 12:00:00 AM,1745,12,32,0,327
06/14/2020 12:00:00 AM,1759,14,32,0,197
06/15/2020 12:00:00 AM,1801,42,32,0,790
06/16/2020 12:00:00 AM,1854,53,32,0,903
06/17/2020 12:00:00 AM,1898,44,32,0,863
06/18/2020 12:00:00 AM,1960,62,32,0,912
06/19/2020 12:00:00 AM,2008,48,32,0,769
06/20/2020 12:00:00 AM,2031,23,33,1,317
06/21/2020 12:00:00 AM,2052,21,34,1,260
06/22/2020 12:00:00 AM,2123,71,35,1,1081
06/23/2020 12:00:00 AM,2191,68,35,0,1103
06/24/2020 12:00:00 AM,2294,103,36,1,1058
06/25/2020 12:00:00 AM,2369,75,36,0,925
06/26/2020 12:00:00 AM,2450,81,36,0,1199
06/27/2020 12:00:00 AM,2484,34,37,1,589
06/28/2020 12:00:00 AM,2513,29,38,1,367
06/29/2020 12:00:00 AM,2609,96,38,0,1183
06/30/2020 12:00:00 AM,2729,120,38,0,1193
07/01/2020 12:00:00 AM,2827,98,38,0,1370
07/02/2020 12:00:00 AM,2941,114,38,0,1311
07/03/2020 12:00:00 AM,3010,69,39,1,876
07/04/2020 12:00:00 AM,3033,23,39,0,345
07/05/2020 12:00:00 AM,3080,47,39,0,344
07/06/2020 12:00:00 AM,3205,125,41,2,1276
07/07/2020 12:00:00 AM,3356,151,42,1,1261
07/08/2020 12:00:00 AM,3486,130,43,1,1203
07/09/2020 12:00:00 AM,3633,147,45,2,1178
07/10/2020 12:00:00 AM,3752,119,45,0,1022
07/11/2020 12:00:00 AM,3838,86,45,0,839
07/12/2020 12:00:00 AM,3881,43,48,3,451
07/13/2020 12:00:00 AM,4034,153,53,5,1897
07/14/2020 12:00:00 AM,4226,192,53,0,1792
07/15/2020 12:00:00 AM,4408,182,53,0,1364
07/16/2020 12:00:00 AM,4526,118,53,0,1013
07/17/2020 12:00:00 AM,4639,113,54,1,1271
07/18/2020 12:00:00 AM,4714,75,57,3,668
07/19/2020 12:00:00 AM,4755,41,58,1,373
07/20/2020 12:00:00 AM,4874,119,60,2,1358
07/21/2020 12:00:00 AM,5032,158,62,2,1527
07/22/2020 12:00:00 AM,5144,112,63,1,883
07/23/2020 12:00:00 AM,5291,147,67,4,1207
07/24/2020 12:00:00 AM,5402,111,69,2,1078
07/25/2020 12:00:00 AM,5467,65,70,1,627
07/26/2020 12:00:00 AM,5511,44,71,1,346
07/27/2020 12:00:00 AM,5636,125,72,1,924
07/28/2020 12:00:00 AM,5742,106,73,1,1085
07/29/2020 12:00:00 AM,5863,121,74,1,792
07/30/2020 12:00:00 AM,5948,85,78,4,783
07/31/2020 12:00:00 AM,6069,121,81,3,983
08/01/2020 12:00:00 AM,6129,60,82,1,537
08/02/2020 12:00:00 AM,6156,27,83,1,290
08/03/2020 12:00:00 AM,6322,166,85,2,1277
08/04/2020 12:00:00 AM,6460,138,85,0,1057
08/05/2020 12:00:00 AM,6595,135,87,2,1239
08/06/2020 12:00:00 AM,6711,116,90,3,1199
08/07/2020 12:00:00 AM,6818,107,90,0,1095
08/08/2020 12:00:00 AM,6878,60,91,1,571
08/09/2020 12:00:00 AM,6912,34,91,0,339
08/10/2020 12:00:00 AM,7053,141,94,3,1460
08/11/2020 12:00:00 AM,7194,141,94,0,1499
08/12/2020 12:00:00 AM,7313,119,96,2,1391
08/13/2020 12:00:00 AM,7449,136,100,4,1044
08/14/2020 12:00:00 AM,7566,117,100,0,1306
08/15/2020 12:00:00 AM,7623,57,102,2,571
08/16/2020 12:00:00 AM,7675,52,102,0,467
08/17/2020 12:00:00 AM,7787,112,103,1,982
08/18/2020 12:00:00 AM,7909,122,104,1,1235
08/19/2020 12:00:00 AM,8028,119,107,3,1259
08/20/2020 12:00:00 AM,8160,132,109,2,1075
08/21/2020 12:00:00 AM,8257,97,111,2,953
08/22/2020 12:00:00 AM,8303,46,113,2,484
08/23/2020 12:00:00 AM,8350,47,115,2,370
08/24/2020 12:00:00 AM,8486,136,117,2,1241
08/25/2020 12:00:00 AM,8605,119,119,2,1100
08/26/2020 12:00:00 AM,8719,114,121,2,1188
