2016-2019,,2013-2018
anenc,canno1,assist
camind,famind,atten
casind,fasind,chlam
cblack,fbalck,cigprior3
cchin,fchin,cigtri1
censtra,mrescen,cigtri2
cert_code,,cigtri3
cfilip,ffilip,citres
cguam,fguamcha,conano1
chaw,fhawa,conano10
chlam,,conano11
cigspre3,cigprior3,conano12
cigstr1,cigtri1,conano2
cigstr2,cigtri2,conano3
cigstr3,cigtri3,conano4
cjap,fjap,conano5
ckor,fkor,conano6
cleflip,conano8,conano7
clefpal,conano9,conano8
cmo,,conano9
cothas,,countydeli
county,,datefpreday
cpioth,,datefpremo
craceoth,,datefpreyr
csamoa,,datelpreday
cviet,,datelpremo
cwhite,,datelpreyr
cyanotic,,deliplace
cyr,,esttimefd
delroute,,fage
downsyn,,famind
dtepre,,fasind
dtspre,,fbcoun
estgest,,fblack
EstTFD,,fbst
ferdrug,,fchin
fet_anoml,,fdinset
fet_infec,,ffilip
fet_injl,,fguamcha
fetpres,,fhawa
fnatfore,,fjap
forcep,,fkor
gage,,fothas
gastro,,fothpaci
gestdiab,,fraceoth
gesthyp,,fsam
gono,,fviet
hepb,,fweight
hepc,,fwhite
hern,,gonorr
hypeclam,,hepb
hypspad,,hepc
hystero_hyster,,inadpc
ije_fage,,indulab
ije_fnat,,initcaus1
ije_mage,,initcaus2
ije_mrace,,initcaus3
inadpc,,initcaus4
ind_labor,,initcaus5
infert,,initcaus6
insul_dep,,initcaus7
insurance,,llbmo
intcare,,llbyr
lat,,lnmday
limbred,,lnmmo
long,,lnmyr
mamind,,lpomo
marr,,lpoyr
marrever,,mamind
masind,,married
masoth,,masind
matcond_dis,,matmor1
mblack,,matmor2
mchin,,matmor3
mcuba,,matmor4
mfilip,,matmor5
mguam,,matmor6
mhaw,,mbcoun
mhispoth,,mblack
mhtf,,mbrdgerace
mhtin,,mbst
mjap,,mchin
mkor,,mctylim
mmex,,mcub
mnatfore,,methdeli1
mpioth,,methdeli2
mpuer,,methdeli3
mraceoth,,methdeli4
msamoa,,methdeli5
mtfusion,,methdeli6
mviet,,mfilip
mwhite,,mguacha
nchs_citres,,mhawa
nchs_cores,,mhtft
nchs_ctylim,,mhtin
nchs_llmo,,mjap
nchs_llyr,,mkor
nchs_lmenday,,mmex
nchs_lmenmo,,modeli
nchs_lmenyr,,moprebegan
nchs_outmo,,moth
nchs_outyr,,mothas
nchs_postwt,,mothhisp
nchs_prenat,,mothpac
nchs_typatt,,mpuer
nchsbpt,,mrescen
nchsbwt,,mrescoun
nchsdead,,mreslat
nchslive,,mreslong
nchsmedu,,msam
nchsmnat,,mviet
nchsmwt,,mwhite
nchsord,,mwtdeli
nchsout,,mwtpre
nchstate,,numborn
numces,,numprevces
numfds,,numprevis
omph,,obsest
oth_fetl,,olbnd
oth_obprl,,olbnl
othcomp_pcm,,ordborn
perilac,,popo
plur,,privin
poorpreg,,recstate
prediab,,resstate
prehyp,,riskfac1
prevces,,riskfac10
prevpre,,riskfac11
public_assist,,riskfac2
rec_city,,riskfac3
rephelp,,riskfac4
res_zip,,riskfac5
rupture,,riskfac6
sex,,riskfac7
spina,,riskfac8
suspchrom,,riskfac9
syp,,sex
trial,,syph
unphyst,,wkpreg
unplanop,,yrdeli
vacuum,,
wkpreg,,
