"GEOID","Under 5 years","5 to 9 years","10 to 14 years","15 to 19 years","20 to 24 years","25 to 29 years","30 to 34 years","35 to 39 years","40 to 44 years","45 to 49 years","50 to 54 years","55 to 59 years","60 to 64 years","65 to 69 years","70 to 74 years","75 to 79 years","80 to 84 years","85 years and over","NA"
"64101",0,0,0,0,19,84,42,40,49,53,21,14,0,0,0,0,0,0,644
"64102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64105",32,2,47,67,890,1541,681,389,151,256,278,207,127,144,85,66,21,19,10006
"64106",761,774,413,514,913,1707,1181,754,564,450,545,385,300,234,129,61,33,80,19596
"64108",395,325,232,308,860,1448,693,611,588,428,433,497,648,426,217,180,100,61,16900
"64109",387,363,441,399,1091,941,974,732,571,542,637,836,742,385,245,162,177,119,19488
"64110",1030,761,687,1396,2166,2076,1411,1250,797,812,702,870,849,737,446,325,171,133,33238
"64111",547,517,514,366,2230,3710,2680,1353,1017,865,960,742,780,470,449,264,154,324,35884
"64112",186,132,210,386,1116,1789,570,459,388,288,419,699,677,559,343,126,200,119,17332
"64113",1014,728,654,576,167,587,1129,873,819,719,871,918,1099,851,463,340,178,143,24258
"64114",1356,1052,779,615,915,2876,3022,1863,1243,1366,1628,1758,1562,1341,911,754,612,895,49096
"64116",569,594,566,882,1253,1862,1165,811,878,1160,1086,1123,939,1075,552,513,325,471,31648
"64117",1197,1108,808,557,945,1041,1194,1387,841,1041,802,760,756,658,340,311,240,258,28488
"64118",3281,3415,2287,1874,2776,4129,3307,3063,2506,2622,2309,2638,2801,1870,1676,917,729,752,85904
"64119",1961,1363,1459,1550,1991,2087,2380,2140,1769,1719,1695,1754,1960,1358,1286,925,563,553,57026
"64120",8,54,37,19,28,21,12,34,46,0,41,27,45,10,22,2,0,0,812
"64123",673,851,1017,990,388,553,794,880,649,572,533,531,528,328,178,109,106,150,19660
"64124",953,969,1036,747,769,789,697,621,953,700,786,660,606,447,216,203,70,144,22732
"64125",72,154,152,99,149,188,121,97,142,111,155,104,73,59,29,5,30,0,3480
"64126",568,780,720,612,255,533,282,534,419,410,321,377,375,154,114,58,38,56,13212
"64127",1349,1351,1262,989,770,1145,922,1167,1064,980,957,1120,817,749,406,226,224,274,31544
"64128",891,728,1038,777,655,644,802,754,622,442,888,1060,795,492,462,293,187,314,23688
"64129",631,662,615,451,656,532,744,666,391,480,436,631,534,422,308,157,119,180,17230
"64130",1280,1336,1497,1290,1068,1624,953,1206,1117,903,1686,1474,1317,919,824,602,583,491,40340
"64131",1748,1237,1031,740,1684,2425,1857,1626,1050,1352,1043,1408,1786,1228,833,623,285,720,45352
"64132",1239,946,1154,1029,1013,1165,1038,848,661,785,809,1004,872,529,530,283,178,123,28412
"64133",1956,1995,2132,1898,1981,2290,2311,2446,1934,2287,2415,2628,2404,2069,1414,1201,876,721,69916
"64134",2463,1900,1926,1443,1631,2023,1943,1157,1067,1409,1135,1283,1211,884,550,443,384,367,46438
"64136",128,116,87,100,231,83,125,105,107,87,99,90,224,62,116,74,98,157,4178
"64137",780,821,705,499,981,1375,940,649,471,642,574,626,535,461,287,193,236,186,21922
"64138",1936,1549,1411,1908,1749,1667,1637,1591,1520,1646,1546,1639,1770,1267,920,688,508,465,50834
"64139",107,296,184,105,115,140,68,248,88,281,191,134,135,67,71,24,23,85,4724
"64145",149,212,192,355,325,148,174,281,264,245,263,300,524,448,354,339,250,237,10120
"64146",145,89,61,31,21,32,254,71,49,49,282,123,75,89,86,114,27,20,3236
"64147",124,50,65,130,69,37,81,27,0,19,0,0,0,0,0,0,0,0,1204
"64149",36,40,0,7,0,5,37,14,8,17,58,29,14,0,38,0,12,15,660
"64151",1553,1610,1604,1723,2005,2099,1900,1690,2004,1761,1699,1937,1623,1541,797,662,455,398,54122
"64152",1876,1998,2001,1972,1601,1534,1750,1928,2056,2023,2249,2274,1770,1531,1259,757,266,184,58058
"64153",244,437,487,442,245,434,447,645,334,412,398,393,214,201,51,48,77,216,11450
"64154",637,776,756,548,733,945,963,926,647,830,618,510,545,633,460,216,226,289,22516
"64155",1558,1674,1544,1581,1646,1199,2227,1781,1660,1485,1837,1572,1269,1281,706,350,256,279,47810
"64156",543,918,728,474,307,514,784,621,598,577,635,579,348,163,213,131,14,21,16336
"64157",1781,2099,2265,1411,501,971,1337,2321,1611,1821,869,945,716,673,401,121,158,50,40102
"64158",245,363,574,486,359,285,294,304,469,488,443,190,252,50,60,82,78,74,10192
"64161",11,10,21,24,42,3,21,19,28,27,25,46,42,25,5,5,5,0,718
"64163",41,61,6,30,75,63,83,31,49,60,52,163,35,30,9,66,0,16,1740
"64164",0,13,0,0,0,0,0,27,0,78,33,13,12,46,0,16,0,0,476
"64165",15,27,139,75,0,0,0,36,111,51,12,0,37,0,0,0,0,0,1006
"64166",0,0,0,0,0,0,0,0,0,0,20,0,56,37,48,13,25,0,398
"64167",0,61,0,64,48,27,110,0,0,30,42,46,66,20,36,22,0,0,1144
