"GEO_ID","NAME","B01001_001E","B01001_001M","B01001_002E","B01001_002M","B01001_003E","B01001_003M","B01001_004E","B01001_004M","B01001_005E","B01001_005M","B01001_006E","B01001_006M","B01001_007E","B01001_007M","B01001_008E","B01001_008M","B01001_009E","B01001_009M","B01001_010E","B01001_010M","B01001_011E","B01001_011M","B01001_012E","B01001_012M","B01001_013E","B01001_013M","B01001_014E","B01001_014M","B01001_015E","B01001_015M","B01001_016E","B01001_016M","B01001_017E","B01001_017M","B01001_018E","B01001_018M","B01001_019E","B01001_019M","B01001_020E","B01001_020M","B01001_021E","B01001_021M","B01001_022E","B01001_022M","B01001_023E","B01001_023M","B01001_024E","B01001_024M","B01001_025E","B01001_025M","B01001_026E","B01001_026M","B01001_027E","B01001_027M","B01001_028E","B01001_028M","B01001_029E","B01001_029M","B01001_030E","B01001_030M","B01001_031E","B01001_031M","B01001_032E","B01001_032M","B01001_033E","B01001_033M","B01001_034E","B01001_034M","B01001_035E","B01001_035M","B01001_036E","B01001_036M","B01001_037E","B01001_037M","B01001_038E","B01001_038M","B01001_039E","B01001_039M","B01001_040E","B01001_040M","B01001_041E","B01001_041M","B01001_042E","B01001_042M","B01001_043E","B01001_043M","B01001_044E","B01001_044M","B01001_045E","B01001_045M","B01001_046E","B01001_046M","B01001_047E","B01001_047M","B01001_048E","B01001_048M","B01001_049E","B01001_049M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Margin of Error!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Margin of Error!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Margin of Error!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Margin of Error!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Margin of Error!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 years","Margin of Error!!Total:!!Male:!!20 years","Estimate!!Total:!!Male:!!21 years","Margin of Error!!Total:!!Male:!!21 years","Estimate!!Total:!!Male:!!22 to 24 years","Margin of Error!!Total:!!Male:!!22 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Margin of Error!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Margin of Error!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 39 years","Margin of Error!!Total:!!Male:!!35 to 39 years","Estimate!!Total:!!Male:!!40 to 44 years","Margin of Error!!Total:!!Male:!!40 to 44 years","Estimate!!Total:!!Male:!!45 to 49 years","Margin of Error!!Total:!!Male:!!45 to 49 years","Estimate!!Total:!!Male:!!50 to 54 years","Margin of Error!!Total:!!Male:!!50 to 54 years","Estimate!!Total:!!Male:!!55 to 59 years","Margin of Error!!Total:!!Male:!!55 to 59 years","Estimate!!Total:!!Male:!!60 and 61 years","Margin of Error!!Total:!!Male:!!60 and 61 years","Estimate!!Total:!!Male:!!62 to 64 years","Margin of Error!!Total:!!Male:!!62 to 64 years","Estimate!!Total:!!Male:!!65 and 66 years","Margin of Error!!Total:!!Male:!!65 and 66 years","Estimate!!Total:!!Male:!!67 to 69 years","Margin of Error!!Total:!!Male:!!67 to 69 years","Estimate!!Total:!!Male:!!70 to 74 years","Margin of Error!!Total:!!Male:!!70 to 74 years","Estimate!!Total:!!Male:!!75 to 79 years","Margin of Error!!Total:!!Male:!!75 to 79 years","Estimate!!Total:!!Male:!!80 to 84 years","Margin of Error!!Total:!!Male:!!80 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Margin of Error!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Margin of Error!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Margin of Error!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Margin of Error!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Margin of Error!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Margin of Error!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 years","Margin of Error!!Total:!!Female:!!20 years","Estimate!!Total:!!Female:!!21 years","Margin of Error!!Total:!!Female:!!21 years","Estimate!!Total:!!Female:!!22 to 24 years","Margin of Error!!Total:!!Female:!!22 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Margin of Error!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Margin of Error!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 39 years","Margin of Error!!Total:!!Female:!!35 to 39 years","Estimate!!Total:!!Female:!!40 to 44 years","Margin of Error!!Total:!!Female:!!40 to 44 years","Estimate!!Total:!!Female:!!45 to 49 years","Margin of Error!!Total:!!Female:!!45 to 49 years","Estimate!!Total:!!Female:!!50 to 54 years","Margin of Error!!Total:!!Female:!!50 to 54 years","Estimate!!Total:!!Female:!!55 to 59 years","Margin of Error!!Total:!!Female:!!55 to 59 years","Estimate!!Total:!!Female:!!60 and 61 years","Margin of Error!!Total:!!Female:!!60 and 61 years","Estimate!!Total:!!Female:!!62 to 64 years","Margin of Error!!Total:!!Female:!!62 to 64 years","Estimate!!Total:!!Female:!!65 and 66 years","Margin of Error!!Total:!!Female:!!65 and 66 years","Estimate!!Total:!!Female:!!67 to 69 years","Margin of Error!!Total:!!Female:!!67 to 69 years","Estimate!!Total:!!Female:!!70 to 74 years","Margin of Error!!Total:!!Female:!!70 to 74 years","Estimate!!Total:!!Female:!!75 to 79 years","Margin of Error!!Total:!!Female:!!75 to 79 years","Estimate!!Total:!!Female:!!80 to 84 years","Margin of Error!!Total:!!Female:!!80 to 84 years","Estimate!!Total:!!Female:!!85 years and over","Margin of Error!!Total:!!Female:!!85 years and over"
"8600000US64101","ZCTA5 64101","322","444","322","444","0","11","0","11","0","11","0","11","0","11","7","12","0","11","12","19","84","131","42","65","40","61","49","67","53","82","21","18","14","22","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64102","ZCTA5 64102","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64105","ZCTA5 64105","5003","368","2656","296","0","16","2","6","0","16","0","16","0","16","51","64","11","18","414","160","799","164","403","125","198","78","121","70","146","90","151","79","116","78","25","28","54","59","60","46","9","13","72","36","12","15","12","19","0","16","2347","286","32","26","0","16","47","5","67","22","0","16","1","5","1","4","412","117","742","162","278","106","191","71","30","33","110","44","127","67","91","73","13","20","35","33","33","23","42","35","13","19","54","56","9","15","19","22"
"8600000US64106","ZCTA5 64106","9798","1020","5694","681","409","187","508","243","259","139","93","70","258","101","125","62","60","40","358","105","927","207","608","146","431","131","443","140","251","114","384","181","230","79","65","43","75","45","37","28","75","42","49","31","17","17","21","25","11","12","4104","458","352","159","266","120","154","70","95","51","68","79","3","6","84","69","283","99","780","173","573","167","323","99","121","57","199","117","161","79","155","70","56","35","104","56","51","62","71","46","80","63","44","33","12","13","69","71"
"8600000US64108","ZCTA5 64108","8450","473","4360","332","310","105","157","94","128","98","53","44","110","86","108","69","63","50","159","61","844","164","367","96","333","104","371","106","212","84","196","93","288","104","130","82","157","89","101","56","72","40","86","45","71","42","44","44","0","16","4090","323","85","71","168","89","104","75","67","67","78","53","63","47","39","28","428","150","604","144","326","86","278","84","217","73","216","84","237","104","209","97","155","85","206","79","62","34","191","94","131","67","109","50","56","33","61","48"
"8600000US64109","ZCTA5 64109","9744","549","4838","424","111","52","265","77","313","135","43","35","101","58","89","68","81","56","315","101","513","146","544","134","403","124","287","104","272","85","216","69","388","123","166","64","277","89","60","39","118","52","118","44","67","39","65","40","26","25","4906","349","276","103","98","48","128","65","148","57","107","55","109","57","119","73","378","152","428","133","430","120","329","94","284","97","270","107","421","132","448","84","144","45","155","69","83","45","124","53","127","54","95","45","112","56","93","46"
"8600000US64110","ZCTA5 64110","16619","874","8054","712","423","130","375","118","393","92","128","68","518","336","118","79","320","272","651","185","1153","190","665","127","515","115","418","103","448","116","379","100","427","103","166","68","216","77","128","69","195","71","179","73","120","49","82","46","37","31","8565","552","607","156","386","108","294","79","169","74","581","177","331","120","339","117","407","109","923","220","746","161","735","134","379","123","364","93","323","87","443","106","192","79","275","81","175","78","239","62","267","78","205","63","89","50","96","55"
"8600000US64111","ZCTA5 64111","17942","980","9456","648","268","123","188","136","148","106","62","52","74","67","82","64","34","35","751","203","2212","477","1599","314","747","227","601","201","517","138","427","160","499","143","164","87","249","104","149","71","162","98","202","75","167","66","62","46","92","43","8486","650","279","191","329","180","366","127","165","107","65","35","119","61","102","55","1142","229","1498","301","1081","260","606","159","416","179","348","137","533","151","243","100","181","79","186","80","42","36","117","57","247","102","97","52","92","53","232","95"
"8600000US64112","ZCTA5 64112","8666","582","4331","449","105","48","70","37","107","53","28","24","158","108","47","39","57","32","418","240","920","289","301","83","198","82","204","67","148","75","204","91","399","170","136","72","145","67","165","91","133","56","171","53","67","39","93","60","57","35","4335","322","81","38","62","36","103","49","82","41","118","53","63","47","181","113","350","133","869","195","269","85","261","101","184","90","140","69","215","82","300","108","200","125","196","62","121","56","140","59","172","66","59","36","107","57","62","32"
"8600000US64113","ZCTA5 64113","12129","567","5936","275","533","110","316","92","348","80","206","71","79","43","0","18","34","29","35","27","258","100","587","141","427","123","418","89","399","119","424","117","424","97","260","85","298","79","127","56","209","75","267","72","171","66","72","37","44","36","6193","419","481","163","412","132","306","70","234","98","57","35","0","18","11","13","87","53","329","107","542","129","446","142","401","98","320","83","447","105","494","113","226","78","315","93","174","62","341","90","196","55","169","70","106","51","99","61"
"8600000US64114","ZCTA5 64114","24548","1084","11581","626","545","140","330","138","490","149","251","103","141","87","57","47","95","79","459","187","1323","295","1564","307","964","216","605","176","565","128","913","181","710","156","332","126","440","132","200","69","368","90","391","83","370","79","185","64","283","80","12967","707","811","214","722","307","289","94","169","91","54","37","26","32","45","52","233","97","1553","277","1458","244","899","223","638","140","801","181","715","161","1048","175","311","97","479","123","286","87","487","112","520","106","384","98","427","112","612","133"
"8600000US64116","ZCTA5 64116","15824","778","7778","578","272","128","308","147","297","151","232","109","179","89","99","90","140","102","396","162","1079","352","675","207","429","185","447","160","491","152","535","169","498","157","209","122","167","87","212","95","249","112","324","98","124","49","199","112","217","114","8046","546","297","154","286","149","269","110","264","118","207","114","41","42","211","161","366","175","783","250","490","162","382","129","431","163","669","173","551","156","625","154","164","66","399","124","297","118","317","96","228","98","389","129","126","71","254","93"
"8600000US64117","ZCTA5 64117","14244","870","7018","566","528","209","540","167","341","119","234","123","68","37","46","39","29","39","415","214","587","188","562","154","790","265","333","105","507","123","382","126","517","190","205","94","198","80","80","45","229","101","118","56","106","100","119","66","84","50","7226","518","669","193","568","197","467","156","207","78","48","42","72","69","108","62","275","122","454","145","632","187","597","170","508","164","534","124","420","151","243","79","141","62","212","76","84","40","265","130","222","79","205","79","121","67","174","72"
"8600000US64118","ZCTA5 64118","42952","1200","21094","784","1574","304","2021","282","1152","270","473","108","423","122","201","137","193","95","1017","337","1880","296","1809","248","1352","276","1268","264","1302","245","1365","232","1132","198","538","177","710","161","385","145","496","153","798","184","432","128","254","105","319","104","21858","815","1707","297","1394","296","1135","272","542","144","436","150","277","128","252","100","836","231","2249","307","1498","297","1711","295","1238","279","1320","254","944","238","1506","206","620","159","933","208","411","126","578","134","878","212","485","121","475","144","433","135"
"8600000US64119","ZCTA5 64119","28513","1190","14217","729","1283","277","691","192","707","150","434","146","398","157","168","101","220","138","620","198","941","197","1276","218","1010","178","942","230","861","147","786","138","999","163","423","133","460","119","240","77","385","109","576","113","316","105","289","94","192","105","14296","693","678","184","672","165","752","243","364","134","354","137","210","133","102","85","671","258","1146","234","1104","173","1130","189","827","218","858","173","909","157","755","142","426","129","651","117","374","107","359","94","710","155","609","153","274","89","361","110"
"8600000US64120","ZCTA5 64120","406","187","188","99","8","11","12","16","29","32","19","26","0","11","0","11","0","11","0","11","21","18","5","8","24","24","20","30","0","11","9","11","9","14","13","20","10","10","0","11","4","8","3","5","2","4","0","11","0","11","218","108","0","11","42","60","8","11","0","11","0","11","18","27","0","11","10","12","0","11","7","11","10","11","26","28","0","11","32","32","18","16","22","18","0","11","0","11","6","13","19","20","0","11","0","11","0","11"
"8600000US64123","ZCTA5 64123","9830","887","5031","550","396","171","388","159","501","182","300","131","129","85","125","98","0","16","117","91","279","155","378","140","501","163","345","150","294","149","280","110","293","125","110","69","135","88","91","71","105","70","123","78","51","39","41","31","49","40","4799","573","277","158","463","181","516","205","427","175","134","87","35","50","15","20","96","113","274","121","416","138","379","141","304","125","278","132","253","123","238","89","84","63","199","89","63","50","69","43","55","40","58","41","65","45","101","65"
"8600000US64124","ZCTA5 64124","11366","1145","5841","667","509","186","497","169","480","157","250","112","186","93","118","102","97","71","143","73","369","144","396","141","241","85","442","139","419","135","477","192","403","116","160","74","134","66","139","97","101","58","116","72","70","43","32","40","62","40","5525","617","444","163","472","161","556","185","128","78","183","115","53","39","69","57","289","126","420","138","301","106","380","132","511","143","281","91","309","123","257","82","112","81","200","102","35","31","172","80","100","69","133","71","38","35","82","58"
"8600000US64125","ZCTA5 64125","1740","438","909","251","12","13","68","49","87","54","38","34","22","21","0","11","13","18","100","50","84","62","66","50","73","53","64","41","59","40","90","57","36","28","9","13","38","24","6","9","9","11","10","10","5","8","20","22","0","11","831","219","60","45","86","72","65","55","37","21","2","6","30","30","0","11","6","9","104","55","55","49","24","27","78","45","52","43","65","40","68","47","11","12","15","15","26","27","18","29","19","22","0","11","10","14","0","11"
"8600000US64126","ZCTA5 64126","6606","856","3278","435","310","197","463","181","449","142","149","91","57","46","18","25","29","41","33","30","118","84","119","84","291","107","230","139","235","109","192","106","234","75","90","64","120","73","30","44","25","29","31","27","5","7","24","22","26","22","3328","547","258","129","317","199","271","150","205","100","201","99","22","25","49","56","104","75","415","208","163","87","243","110","189","75","175","93","129","74","143","76","64","61","101","67","49","45","50","62","83","50","53","34","14","17","30","25"
"8600000US64127","ZCTA5 64127","15772","1025","7338","707","646","218","760","262","487","161","350","122","208","96","17","33","33","39","235","93","524","183","331","127","595","178","528","153","436","134","476","132","531","149","153","87","225","83","164","82","180","79","159","68","95","51","87","67","118","59","8434","609","703","198","591","170","775","219","235","99","196","97","102","45","110","80","273","118","621","178","591","189","572","161","536","170","544","173","481","146","589","144","233","82","206","87","251","118","154","64","247","66","131","53","137","86","156","69"
"8600000US64128","ZCTA5 64128","11844","768","5347","409","409","139","336","128","551","161","151","68","110","72","42","38","113","76","212","98","184","91","356","140","334","124","250","92","280","88","451","113","545","140","132","70","325","105","57","39","167","68","121","50","79","36","73","38","69","30","6497","556","482","139","392","134","487","165","322","116","194","90","12","19","41","46","235","102","460","157","446","150","420","137","372","125","162","68","437","129","515","107","158","75","180","73","136","50","132","56","341","78","214","71","114","56","245","66"
"8600000US64129","ZCTA5 64129","8615","737","4056","448","329","208","409","151","250","147","170","113","9","15","0","16","55","61","221","126","263","106","273","133","361","128","197","78","200","96","248","86","233","94","132","66","158","66","102","48","70","58","214","89","82","59","38","28","42","34","4559","453","302","169","253","107","365","116","144","83","128","60","127","82","22","26","231","86","269","118","471","148","305","117","194","105","280","108","188","92","398","110","80","52","164","66","99","50","151","83","94","59","75","37","81","42","138","71"
"8600000US64130","ZCTA5 64130","20170","1408","9111","814","577","225","725","226","818","243","428","133","195","101","40","44","23","33","330","135","863","218","444","150","516","166","452","134","429","144","672","148","644","131","270","97","360","109","203","86","291","97","356","94","187","59","142","65","146","62","11059","774","703","244","611","189","679","190","373","124","294","138","271","142","118","88","286","136","761","243","509","135","690","210","665","151","474","145","1014","175","830","150","169","85","518","142","248","81","177","68","468","120","415","106","441","118","345","86"
"8600000US64131","ZCTA5 64131","22676","1606","11070","1149","996","314","750","234","593","243","280","146","71","53","56","48","118","65","455","178","1118","280","868","221","863","240","635","200","530","140","591","251","701","167","315","141","536","169","232","99","361","142","353","116","267","97","132","72","249","160","11606","876","752","220","487","178","438","165","198","86","191","84","227","136","261","138","567","165","1307","300","989","238","763","263","415","130","822","226","452","137","707","146","410","135","525","169","242","118","393","143","480","138","356","132","153","71","471","299"
"8600000US64132","ZCTA5 64132","14206","1187","6601","739","595","230","522","200","726","240","278","116","215","101","128","137","46","46","227","116","439","171","582","201","354","147","301","113","391","128","371","114","461","162","126","65","177","68","72","43","168","84","242","106","112","58","49","31","19","20","7605","624","644","197","424","148","428","125","378","153","158","96","248","161","76","64","288","111","726","213","456","139","494","149","360","110","394","136","438","100","543","129","321","113","248","82","119","63","170","64","288","98","171","59","129","70","104","59"
"8600000US64133","ZCTA5 64133","34958","1176","16133","801","912","273","875","218","1016","211","713","197","369","162","247","141","320","126","423","137","1211","335","964","208","1131","225","889","187","1126","209","1042","166","1059","189","393","137","682","139","416","133","589","147","613","132","474","141","462","131","207","87","18825","773","1044","244","1120","221","1116","243","518","176","298","150","300","154","53","38","638","238","1079","242","1347","294","1315","209","1045","226","1161","221","1373","222","1569","263","470","160","859","185","418","96","646","147","801","198","727","187","414","128","514","132"
"8600000US64134","ZCTA5 64134","23219","1319","11150","782","1403","417","1048","279","1048","262","594","198","185","99","174","128","114","95","422","152","943","235","914","230","463","148","332","144","803","220","504","126","499","149","289","120","246","83","173","98","291","103","267","93","161","70","124","65","153","60","12069","854","1060","308","852","198","878","249","373","163","291","118","142","100","180","99","599","214","1080","339","1029","206","694","196","735","188","606","154","631","155","784","176","236","94","440","118","99","66","321","121","283","92","282","93","260","93","214","83"
"8600000US64136","ZCTA5 64136","2089","437","906","222","73","114","0","11","67","60","54","65","28","43","8","13","0","11","85","96","0","11","77","75","60","74","48","60","36","42","77","67","37","42","24","37","79","73","0","11","0","11","56","77","32","31","13","21","52","63","1183","266","55","66","116","85","20","33","18","28","0","11","0","11","0","11","138","126","83","105","48","58","45","51","59","63","51","47","22","34","53","48","46","41","75","77","0","11","62","57","60","49","42","41","85","67","105","79"
"8600000US64137","ZCTA5 64137","10961","741","5314","449","508","192","393","175","412","130","71","40","133","61","61","45","100","56","164","78","803","284","509","130","327","99","221","106","326","121","255","88","271","86","78","49","103","56","96","70","104","64","150","61","54","35","91","41","84","50","5647","645","272","97","428","175","293","129","216","131","79","58","97","82","39","35","520","279","572","190","431","129","322","117","250","90","316","117","319","127","355","105","115","54","239","82","102","62","159","111","137","60","139","76","145","56","102","55"
