GEO_ID,NAME,B01001A_001E,B01001A_001M,B01001A_002E,B01001A_002M,B01001A_003E,B01001A_003M,B01001A_004E,B01001A_004M,B01001A_005E,B01001A_005M,B01001A_006E,B01001A_006M,B01001A_007E,B01001A_007M,B01001A_008E,B01001A_008M,B01001A_009E,B01001A_009M,B01001A_010E,B01001A_010M,B01001A_011E,B01001A_011M,B01001A_012E,B01001A_012M,B01001A_013E,B01001A_013M,B01001A_014E,B01001A_014M,B01001A_015E,B01001A_015M,B01001A_016E,B01001A_016M,B01001A_017E,B01001A_017M,B01001A_018E,B01001A_018M,B01001A_019E,B01001A_019M,B01001A_020E,B01001A_020M,B01001A_021E,B01001A_021M,B01001A_022E,B01001A_022M,B01001A_023E,B01001A_023M,B01001A_024E,B01001A_024M,B01001A_025E,B01001A_025M,B01001A_026E,B01001A_026M,B01001A_027E,B01001A_027M,B01001A_028E,B01001A_028M,B01001A_029E,B01001A_029M,B01001A_030E,B01001A_030M,B01001A_031E,B01001A_031M
id,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!Male:,Margin of Error!!Total:!!Male:,Estimate!!Total:!!Male:!!Under 5 years,Margin of Error!!Total:!!Male:!!Under 5 years,Estimate!!Total:!!Male:!!5 to 9 years,Margin of Error!!Total:!!Male:!!5 to 9 years,Estimate!!Total:!!Male:!!10 to 14 years,Margin of Error!!Total:!!Male:!!10 to 14 years,Estimate!!Total:!!Male:!!15 to 17 years,Margin of Error!!Total:!!Male:!!15 to 17 years,Estimate!!Total:!!Male:!!18 and 19 years,Margin of Error!!Total:!!Male:!!18 and 19 years,Estimate!!Total:!!Male:!!20 to 24 years,Margin of Error!!Total:!!Male:!!20 to 24 years,Estimate!!Total:!!Male:!!25 to 29 years,Margin of Error!!Total:!!Male:!!25 to 29 years,Estimate!!Total:!!Male:!!30 to 34 years,Margin of Error!!Total:!!Male:!!30 to 34 years,Estimate!!Total:!!Male:!!35 to 44 years,Margin of Error!!Total:!!Male:!!35 to 44 years,Estimate!!Total:!!Male:!!45 to 54 years,Margin of Error!!Total:!!Male:!!45 to 54 years,Estimate!!Total:!!Male:!!55 to 64 years,Margin of Error!!Total:!!Male:!!55 to 64 years,Estimate!!Total:!!Male:!!65 to 74 years,Margin of Error!!Total:!!Male:!!65 to 74 years,Estimate!!Total:!!Male:!!75 to 84 years,Margin of Error!!Total:!!Male:!!75 to 84 years,Estimate!!Total:!!Male:!!85 years and over,Margin of Error!!Total:!!Male:!!85 years and over,Estimate!!Total:!!Female:,Margin of Error!!Total:!!Female:,Estimate!!Total:!!Female:!!Under 5 years,Margin of Error!!Total:!!Female:!!Under 5 years,Estimate!!Total:!!Female:!!5 to 9 years,Margin of Error!!Total:!!Female:!!5 to 9 years,Estimate!!Total:!!Female:!!10 to 14 years,Margin of Error!!Total:!!Female:!!10 to 14 years,Estimate!!Total:!!Female:!!15 to 17 years,Margin of Error!!Total:!!Female:!!15 to 17 years,Estimate!!Total:!!Female:!!18 and 19 years,Margin of Error!!Total:!!Female:!!18 and 19 years,Estimate!!Total:!!Female:!!20 to 24 years,Margin of Error!!Total:!!Female:!!20 to 24 years,Estimate!!Total:!!Female:!!25 to 29 years,Margin of Error!!Total:!!Female:!!25 to 29 years,Estimate!!Total:!!Female:!!30 to 34 years,Margin of Error!!Total:!!Female:!!30 to 34 years,Estimate!!Total:!!Female:!!35 to 44 years,Margin of Error!!Total:!!Female:!!35 to 44 years,Estimate!!Total:!!Female:!!45 to 54 years,Margin of Error!!Total:!!Female:!!45 to 54 years,Estimate!!Total:!!Female:!!55 to 64 years,Margin of Error!!Total:!!Female:!!55 to 64 years,Estimate!!Total:!!Female:!!65 to 74 years,Margin of Error!!Total:!!Female:!!65 to 74 years,Estimate!!Total:!!Female:!!75 to 84 years,Margin of Error!!Total:!!Female:!!75 to 84 years,Estimate!!Total:!!Female:!!85 years and over,Margin of Error!!Total:!!Female:!!85 years and over
8600000US64101,ZCTA5 64101,138,203,138,203,0,11,0,11,0,11,0,11,0,11,12,19,13,20,27,42,26,39,60,84,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US64102,ZCTA5 64102,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US64105,ZCTA5 64105,4096,358,2162,276,0,16,2,6,0,16,0,16,0,16,390,147,682,144,376,119,217,77,218,103,160,96,93,39,24,24,0,16,1934,262,24,28,0,16,0,16,10,15,0,16,372,104,676,164,259,105,174,75,165,79,119,82,88,39,28,24,19,22
8600000US64106,ZCTA5 64106,4388,437,2535,257,109,90,59,47,11,21,0,16,37,30,244,88,550,137,325,103,550,121,289,97,215,75,120,54,15,14,11,12,1853,242,108,68,80,60,30,24,17,19,15,32,212,92,434,125,291,106,208,70,134,61,189,66,89,47,25,21,21,23
8600000US64108,ZCTA5 64108,5115,470,2776,290,161,97,33,33,27,26,40,41,24,30,215,82,655,124,284,71,455,123,234,75,353,99,207,73,88,49,0,16,2339,279,30,42,66,52,68,60,33,48,36,33,292,104,392,88,254,71,260,87,245,75,318,109,198,76,118,51,29,25
8600000US64109,ZCTA5 64109,4100,404,1969,258,66,39,171,61,58,56,7,15,15,15,220,81,302,93,218,73,316,85,149,57,313,93,77,33,49,30,8,17,2131,265,196,93,61,41,5,9,49,32,20,19,279,90,290,97,278,94,281,79,255,117,228,65,96,62,93,48,0,16
8600000US64110,ZCTA5 64110,8909,614,4615,451,294,96,144,81,105,53,47,34,336,177,613,216,750,148,514,110,615,110,540,129,330,99,243,109,76,36,8,10,4294,394,253,94,132,59,16,16,32,36,389,153,714,201,550,142,471,120,662,114,312,90,363,72,275,74,93,44,32,29
8600000US64111,ZCTA5 64111,14196,939,7370,587,199,118,146,125,108,87,36,31,70,66,659,193,1577,405,1345,273,1000,228,706,168,793,174,430,121,210,73,91,42,6826,635,248,189,175,143,196,92,151,105,51,28,1159,228,1320,278,822,241,818,181,651,158,482,135,356,103,165,77,232,95
8600000US64112,ZCTA5 64112,7660,534,3739,405,85,38,70,37,79,39,28,24,62,42,464,239,794,280,253,80,365,103,266,93,594,155,462,105,160,61,57,35,3921,315,69,35,62,36,99,49,74,39,104,53,509,183,761,182,231,83,418,137,317,97,626,154,433,88,158,63,60,30
