"GEO_ID","NAME","B01001B_001E","B01001B_001M","B01001B_002E","B01001B_002M","B01001B_003E","B01001B_003M","B01001B_004E","B01001B_004M","B01001B_005E","B01001B_005M","B01001B_006E","B01001B_006M","B01001B_007E","B01001B_007M","B01001B_008E","B01001B_008M","B01001B_009E","B01001B_009M","B01001B_010E","B01001B_010M","B01001B_011E","B01001B_011M","B01001B_012E","B01001B_012M","B01001B_013E","B01001B_013M","B01001B_014E","B01001B_014M","B01001B_015E","B01001B_015M","B01001B_016E","B01001B_016M","B01001B_017E","B01001B_017M","B01001B_018E","B01001B_018M","B01001B_019E","B01001B_019M","B01001B_020E","B01001B_020M","B01001B_021E","B01001B_021M","B01001B_022E","B01001B_022M","B01001B_023E","B01001B_023M","B01001B_024E","B01001B_024M","B01001B_025E","B01001B_025M","B01001B_026E","B01001B_026M","B01001B_027E","B01001B_027M","B01001B_028E","B01001B_028M","B01001B_029E","B01001B_029M","B01001B_030E","B01001B_030M","B01001B_031E","B01001B_031M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Margin of Error!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Margin of Error!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Margin of Error!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Margin of Error!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Margin of Error!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 to 24 years","Margin of Error!!Total:!!Male:!!20 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Margin of Error!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Margin of Error!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 44 years","Margin of Error!!Total:!!Male:!!35 to 44 years","Estimate!!Total:!!Male:!!45 to 54 years","Margin of Error!!Total:!!Male:!!45 to 54 years","Estimate!!Total:!!Male:!!55 to 64 years","Margin of Error!!Total:!!Male:!!55 to 64 years","Estimate!!Total:!!Male:!!65 to 74 years","Margin of Error!!Total:!!Male:!!65 to 74 years","Estimate!!Total:!!Male:!!75 to 84 years","Margin of Error!!Total:!!Male:!!75 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Margin of Error!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Margin of Error!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Margin of Error!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Margin of Error!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Margin of Error!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Margin of Error!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 to 24 years","Margin of Error!!Total:!!Female:!!20 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Margin of Error!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Margin of Error!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 44 years","Margin of Error!!Total:!!Female:!!35 to 44 years","Estimate!!Total:!!Female:!!45 to 54 years","Margin of Error!!Total:!!Female:!!45 to 54 years","Estimate!!Total:!!Female:!!55 to 64 years","Margin of Error!!Total:!!Female:!!55 to 64 years","Estimate!!Total:!!Female:!!65 to 74 years","Margin of Error!!Total:!!Female:!!65 to 74 years","Estimate!!Total:!!Female:!!75 to 84 years","Margin of Error!!Total:!!Female:!!75 to 84 years","Estimate!!Total:!!Female:!!85 years and over","Margin of Error!!Total:!!Female:!!85 years and over"
"8600000US64101","ZCTA5 64101","177","243","177","243","0","11","0","11","0","11","0","11","0","11","7","12","71","110","15","23","63","88","7","13","14","22","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64102","ZCTA5 64102","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64105","ZCTA5 64105","514","124","273","116","0","16","0","16","0","16","0","16","0","16","79","72","19","30","25","29","33","36","55","35","23","26","39","44","0","16","0","16","241","67","0","16","0","16","47","5","49","6","0","16","0","16","0","16","0","16","35","33","63","21","12","18","0","16","35","53","0","16"
"8600000US64106","ZCTA5 64106","4283","943","2482","611","214","148","370","234","232","140","79","63","185","87","208","108","331","152","182","84","258","123","267","158","130","72","17","25","9","14","0","16","1801","428","143","131","186","113","117","67","78","51","39","73","47","53","328","151","236","130","187","109","193","112","78","50","102","61","19","23","48","66"
"8600000US64108","ZCTA5 64108","1901","309","916","196","128","78","54","71","50","74","5","10","21","31","91","62","121","116","70","67","85","60","83","65","156","82","52","37","0","16","0","16","985","227","30","45","77","69","13","28","0","16","15","24","87","66","162","128","39","46","119","83","128","77","152","77","129","69","34","24","0","16"
"8600000US64109","ZCTA5 64109","4687","450","2434","306","45","39","69","53","229","128","28","28","60","39","174","94","137","68","263","103","321","168","323","83","487","117","197","69","83","47","18","18","2253","252","53","34","37","24","79","52","74","44","70","47","209","88","96","65","120","67","292","97","368","110","437","82","216","63","109","48","93","46"
"8600000US64110","ZCTA5 64110","6410","581","2672","337","114","80","231","105","247","73","77","56","110","101","351","161","227","92","42","37","237","83","247","87","420","105","226","73","114","52","29","27","3738","434","316","134","233","92","263","73","121","62","96","66","300","141","317","119","251","102","394","117","316","79","507","108","381","88","179","68","64","48"
"8600000US64111","ZCTA5 64111","1826","601","1246","443","0","18","9","13","40","59","26","40","4","6","184","126","391","265","168","166","120","104","174","131","92","96","32","37","5","10","1","2","580","261","0","18","31","48","62","68","4","6","0","18","66","88","8","14","131","141","68","63","92","75","61","40","40","46","17","24","0","18"
"8600000US64112","ZCTA5 64112","309","272","198","191","0","16","0","16","8","19","0","16","70","98","7","15","0","16","0","16","10","16","47","48","56","85","0","16","0","16","0","16","111","91","0","16","0","16","0","16","0","16","7","14","7","13","37","39","0","16","0","16","8","14","50","79","0","16","0","16","2","11"
"8600000US64113","ZCTA5 64113","198","98","93","53","0","18","10","15","0","18","0","18","0","18","0","18","0","18","0","18","32","29","11","18","11","13","17","19","12","18","0","18","105","76","0","18","0","18","0","18","0","18","0","18","0","18","0","18","16","24","10","16","0","18","63","59","16","18","0","18","0","18"
"8600000US64114","ZCTA5 64114","2693","505","1423","314","36","43","27","26","87","80","43","56","9","18","249","144","123","112","205","105","169","82","162","89","236","116","30","28","33","28","14","22","1270","324","70","86","76","85","23","18","53","53","0","21","31","33","25","40","134","95","212","126","234","116","258","108","80","50","70","43","4","9"
"8600000US64116","ZCTA5 64116","1162","334","504","220","14","23","16","26","0","18","24","36","0","18","12","24","81","118","165","128","24","36","74","62","86","75","8","13","0","18","0","18","658","240","0","18","28","37","8","14","35","55","28","46","0","18","64","85","109","115","161","125","106","88","88","66","31","36","0","18","0","18"
"8600000US64117","ZCTA5 64117","2092","535","973","317","110","99","108","100","93","85","68","83","26","25","31","38","80","92","59","51","215","173","78","47","92","70","13","20","0","18","0","18","1119","309","127","97","248","152","31","30","29","32","9","21","47","45","57","90","185","114","132","86","154","93","72","49","28","43","0","18","0","18"
"8600000US64118","ZCTA5 64118","4407","675","2031","383","106","91","411","165","25","32","63","62","53","45","162","129","308","151","175","102","174","104","322","126","155","94","52","50","21","33","4","9","2376","449","313","142","322","179","57","55","76","95","123","91","209","106","430","167","100","86","278","132","209","111","192","101","50","47","14","21","3","9"
"8600000US64119","ZCTA5 64119","1659","438","985","248","19","16","69","55","51","57","0","21","6","9","108","95","100","84","47","37","300","193","74","52","112","74","40","29","59","54","0","21","674","243","7","11","22","23","27","29","41","35","24","38","27","31","99","82","82","70","152","128","55","34","80","43","23","21","26","28","9","13"
"8600000US64120","ZCTA5 64120","17","19","4","6","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","4","6","0","11","0","11","0","11","0","11","13","15","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","9","13","0","11","4","7","0","11","0","11","0","11"
"8600000US64123","ZCTA5 64123","1568","455","895","275","110","95","54","66","123","76","41","34","0","16","52","80","15","28","16","25","282","185","33","48","119","92","30","51","11","22","9","21","673","264","116","125","39","31","121","127","42","65","0","16","65","102","15","28","4","8","98","55","100","89","73","64","0","16","0","16","0","16"
"8600000US64124","ZCTA5 64124","2531","761","1352","414","156","105","151","117","112","88","69","65","57","64","101","91","66","80","60","71","127","85","244","124","137","76","72","57","0","18","0","18","1179","395","153","110","102","76","165","105","0","18","20","34","135","109","117","101","58","39","156","114","181","96","64","65","24","33","0","18","4","6"
"8600000US64125","ZCTA5 64125","167","135","94","72","0","11","0","11","0","11","22","29","0","11","0","11","16","26","0","11","20","32","31","40","5","9","0","11","0","11","0","11","73","72","0","11","0","11","41","45","0","11","0","11","0","11","0","11","0","11","20","28","12","20","0","11","0","11","0","11","0","11"
"8600000US64126","ZCTA5 64126","1163","503","476","186","58","91","60","47","54","61","12","22","0","16","0","16","16","23","0","16","77","83","47","45","152","69","0","16","0","16","0","16","687","392","33","49","120","141","62","66","29","49","0","16","0","16","147","179","41","45","58","58","96","68","53","60","48","52","0","16","0","16"
"8600000US64127","ZCTA5 64127","7999","911","3633","500","256","161","424","226","281","118","178","109","88","75","125","75","176","81","143","87","458","152","547","168","497","137","306","87","111","71","43","28","4366","555","221","128","295","120","379","176","25","26","63","49","186","100","434","169","289","130","564","138","551","175","686","126","479","125","125","48","69","44"
"8600000US64128","ZCTA5 64128","9565","707","4308","384","355","139","254","100","436","142","132","64","90","67","303","133","160","91","309","134","424","138","592","135","811","151","245","68","134","44","63","27","5257","512","357","121","295","127","400","145","280","111","130","77","204","90","334","145","286","116","666","175","500","128","725","144","549","101","317","84","214","58"
"8600000US64129","ZCTA5 64129","3834","535","1726","376","221","184","207","128","166","129","138","105","9","15","155","110","34","34","102","87","175","92","171","81","117","63","171","81","52","56","8","13","2108","343","101","99","161","111","111","94","57","51","71","55","197","97","86","78","206","98","237","129","245","104","329","106","205","99","35","28","67","54"
"8600000US64130","ZCTA5 64130","17689","1328","7893","756","528","222","611","214","723","232","409","132","149","87","338","139","726","203","403","147","753","169","955","184","1187","176","706","151","276","86","129","58","9796","733","589","215","539","188","607","179","281","102","258","124","611","206","677","228","403","116","1081","189","1435","237","1351","193","857","149","788","139","319","93"
"8600000US64131","ZCTA5 64131","9329","1003","4345","621","506","198","379","141","332","194","153","99","0","21","402","166","417","189","121","83","477","158","413","127","569","182","344","133","134","74","98","101","4984","638","414","185","247","141","109","74","53","41","115","86","524","188","565","235","316","139","524","189","556","174","676","157","494","160","226","87","165","106"
"8600000US64132","ZCTA5 64132","10551","1093","4829","647","483","219","404","179","595","214","240","113","166","94","171","93","280","133","367","161","505","147","561","126","538","147","381","126","126","62","12","18","5722","571","502","174","320","135","324","105","330","142","74","57","367","170","461","160","393","128","640","147","608","149","970","158","393","99","259","82","81","54"
"8600000US64133","ZCTA5 64133","11740","1083","4905","570","369","209","225","85","314","136","361","142","144","92","571","160","395","256","215","118","591","184","641","186","579","186","340","114","117","58","43","38","6835","753","362","172","580","211","504","148","241","140","207","143","327","163","366","167","528","182","948","208","1015","229","1065","271","466","132","204","96","22","21"
"8600000US64134","ZCTA5 64134","14594","1266","6842","739","1152","410","720","248","723","227","500","195","144","93","415","184","613","195","477","179","557","176","619","157","386","114","381","146","111","56","44","34","7752","789","744","308","660","192","737","236","299","152","183","99","587","211","744","315","639","175","1019","244","774","171","716","160","318","96","254","85","78","52"
"8600000US64136","ZCTA5 64136","691","284","325","149","73","114","0","11","51","61","54","65","0","11","0","11","0","11","0","11","39","67","27","43","34","58","47","74","0","11","0","11","366","176","0","11","104","81","0","11","0","11","0","11","51","71","65","100","0","11","50","59","0","11","65","64","0","11","31","34","0","11"
"8600000US64137","ZCTA5 64137","3154","620","1273","280","156","126","78","67","195","116","17","25","38","39","19","29","63","59","179","102","98","74","200","92","51","39","141","71","29","29","9","14","1881","507","71","59","178","132","109","80","89","90","16","24","321","290","136","138","122","84","176","94","249","119","170","84","118","62","108","63","18","22"
"8600000US64138","ZCTA5 64138","11571","1059","5533","577","265","129","521","229","535","273","291","119","256","154","429","148","421","173","206","87","768","197","664","176","692","180","263","103","165","70","57","36","6038","671","358","183","415","191","275","136","283","186","320","182","249","116","386","149","462","199","905","229","953","255","730","188","441","106","153","73","108","68"
"8600000US64139","ZCTA5 64139","517","207","276","116","0","11","24","29","19","41","26","30","0","11","23","35","17","31","22","37","51","39","39","34","22","26","24","25","9","14","0","11","241","109","0","11","34","29","23","28","10","21","0","11","24","36","23","33","0","11","37","30","45","41","0","11","33","30","0","11","12","17"
"8600000US64145","ZCTA5 64145","526","243","263","109","0","16","14","21","3","8","0","16","16","19","40","33","0","16","0","16","36","47","19","21","83","52","33","31","19","26","0","16","263","154","8","19","49","64","0","16","9","11","6","11","11","18","0","16","14","22","32","48","27","28","20","32","69","50","15","16","3","8"
"8600000US64146","ZCTA5 64146","244","170","96","69","0","11","0","11","8","12","0","11","0","11","0","11","0","11","29","45","0","11","23","36","8","11","28","31","0","11","0","11","148","140","30","51","24","40","0","11","8","13","0","11","0","11","0","11","25","42","0","11","8","12","39","41","14","21","0","11","0","11"
"8600000US64147","ZCTA5 64147","324","181","56","57","0","11","0","11","0","11","56","57","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","268","146","76","59","18","24","45","48","0","11","0","11","26","38","10","16","66","48","27","42","0","11","0","11","0","11","0","11","0","11"
"8600000US64149","ZCTA5 64149","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64150","ZCTA5 64150","470","212","245","124","33","43","1","3","27","31","11","15","12","20","0","11","0","11","53","61","34","37","58","54","4","10","12","19","0","11","0","11","225","137","37","45","12","19","0","11","39","42","19","29","13","19","72","74","0","11","33","36","0","11","0","11","0","11","0","11","0","11"
"8600000US64151","ZCTA5 64151","2775","494","1303","319","139","70","77","88","121","91","65","71","0","21","87","66","89","95","138","76","272","126","176","74","109","62","30","33","0","21","0","21","1472","317","169","104","151","106","36","38","22","35","87","84","163","140","74","74","159","89","178","104","212","71","128","55","32","36","61","57","0","21"
"8600000US64152","ZCTA5 64152","1240","376","537","206","28","46","0","21","9","12","16","15","26","30","158","138","109","123","15","35","48","54","18","22","84","66","26","33","0","21","0","21","703","265","67","86","32","46","98","132","0","21","8","12","144","119","40","73","15","38","135","78","56","45","25","34","47","50","36","41","0","21"
"8600000US64153","ZCTA5 64153","534","207","341","142","0","16","33","37","7","17","24","36","43","52","43","45","39","51","0","16","13","22","103","54","11","16","25","37","0","16","0","16","193","108","0","16","0","16","30","34","69","88","0","16","0","16","0","16","0","16","34","33","13","23","47","44","0","16","0","16","0","16"
"8600000US64154","ZCTA5 64154","1280","403","636","187","54","44","68","56","17","16","15","18","22","30","17","21","118","103","91","70","71","57","106","62","24","23","33","34","0","18","0","18","644","276","8","14","73","63","48","46","50","53","73","83","58","55","0","18","95","77","99","68","97","74","19","18","5","9","19","19","0","18"
"8600000US64155","ZCTA5 64155","1799","336","925","188","42","31","130","97","91","45","39","58","18","29","98","70","19","33","13","22","142","76","205","93","43","48","58","49","27","36","0","21","874","203","35","41","61","64","67","44","46","39","0","21","143","78","24","28","15","24","166","85","113","97","69","62","113","82","22","40","0","21"
"8600000US64156","ZCTA5 64156","305","202","185","121","0","16","0","16","38","46","17","22","4","7","0","16","29","51","48","57","14","22","29","36","6","9","0","16","0","16","0","16","120","109","0","16","0","16","13","22","18","24","12","20","24","42","0","16","0","16","18","32","9","15","12","14","14","21","0","16","0","16"
"8600000US64157","ZCTA5 64157","1090","412","481","274","160","194","17","27","60","46","0","21","0","21","0","21","0","21","93","81","16","22","75","48","32","41","21","27","7","14","0","21","609","207","6","13","41","37","16","23","28","32","0","21","11","18","51","83","81","100","154","92","148","95","50","59","17","29","6","9","0","21"
