"GEO_ID","NAME","B01001D_001E","B01001D_001M","B01001D_002E","B01001D_002M","B01001D_003E","B01001D_003M","B01001D_004E","B01001D_004M","B01001D_005E","B01001D_005M","B01001D_006E","B01001D_006M","B01001D_007E","B01001D_007M","B01001D_008E","B01001D_008M","B01001D_009E","B01001D_009M","B01001D_010E","B01001D_010M","B01001D_011E","B01001D_011M","B01001D_012E","B01001D_012M","B01001D_013E","B01001D_013M","B01001D_014E","B01001D_014M","B01001D_015E","B01001D_015M","B01001D_016E","B01001D_016M","B01001D_017E","B01001D_017M","B01001D_018E","B01001D_018M","B01001D_019E","B01001D_019M","B01001D_020E","B01001D_020M","B01001D_021E","B01001D_021M","B01001D_022E","B01001D_022M","B01001D_023E","B01001D_023M","B01001D_024E","B01001D_024M","B01001D_025E","B01001D_025M","B01001D_026E","B01001D_026M","B01001D_027E","B01001D_027M","B01001D_028E","B01001D_028M","B01001D_029E","B01001D_029M","B01001D_030E","B01001D_030M","B01001D_031E","B01001D_031M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Margin of Error!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Margin of Error!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Margin of Error!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Margin of Error!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Margin of Error!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 to 24 years","Margin of Error!!Total:!!Male:!!20 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Margin of Error!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Margin of Error!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 44 years","Margin of Error!!Total:!!Male:!!35 to 44 years","Estimate!!Total:!!Male:!!45 to 54 years","Margin of Error!!Total:!!Male:!!45 to 54 years","Estimate!!Total:!!Male:!!55 to 64 years","Margin of Error!!Total:!!Male:!!55 to 64 years","Estimate!!Total:!!Male:!!65 to 74 years","Margin of Error!!Total:!!Male:!!65 to 74 years","Estimate!!Total:!!Male:!!75 to 84 years","Margin of Error!!Total:!!Male:!!75 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Margin of Error!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Margin of Error!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Margin of Error!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Margin of Error!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Margin of Error!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Margin of Error!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 to 24 years","Margin of Error!!Total:!!Female:!!20 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Margin of Error!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Margin of Error!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 44 years","Margin of Error!!Total:!!Female:!!35 to 44 years","Estimate!!Total:!!Female:!!45 to 54 years","Margin of Error!!Total:!!Female:!!45 to 54 years","Estimate!!Total:!!Female:!!55 to 64 years","Margin of Error!!Total:!!Female:!!55 to 64 years","Estimate!!Total:!!Female:!!65 to 74 years","Margin of Error!!Total:!!Female:!!65 to 74 years","Estimate!!Total:!!Female:!!75 to 84 years","Margin of Error!!Total:!!Female:!!75 to 84 years","Estimate!!Total:!!Female:!!85 years and over","Margin of Error!!Total:!!Female:!!85 years and over"
"8600000US64101","ZCTA5 64101","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64102","ZCTA5 64102","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64105","ZCTA5 64105","170","80","107","62","0","16","0","16","0","16","0","16","0","16","7","11","30","33","0","16","58","48","0","16","12","17","0","16","0","16","0","16","63","42","8","12","0","16","0","16","0","16","0","16","9","13","31","28","4","8","11","17","0","16","0","16","0","16","0","16","0","16"
"8600000US64106","ZCTA5 64106","699","240","411","143","24","24","26","37","16","25","0","16","29","32","83","44","25","25","74","39","37","28","77","63","0","16","6","9","14","24","0","16","288","111","36","48","0","16","7","11","0","16","3","5","50","38","9","14","39","37","49","37","33","33","39","47","11","15","12","14","0","16"
"8600000US64108","ZCTA5 64108","216","96","71","41","0","16","0","16","0","16","0","16","9","19","24","22","0","16","6","8","21","18","11","19","0","16","0","16","0","16","0","16","145","73","0","16","0","16","0","16","0","16","4","8","72","53","11","11","21","19","0","16","15","24","0","16","22","19","0","16","0","16"
"8600000US64109","ZCTA5 64109","214","157","79","66","0","16","0","16","0","16","0","16","0","16","35","47","19","29","5","9","7","12","9","15","0","16","4","7","0","16","0","16","135","141","4","7","0","16","0","16","0","16","0","16","104","141","22","20","5","9","0","16","0","16","0","16","0","16","0","16","0","16"
"8600000US64110","ZCTA5 64110","539","220","338","159","15","21","0","18","23","23","0","18","54","68","67","43","118","74","39","25","22","22","0","18","0","18","0","18","0","18","0","18","201","94","17","16","0","18","15","22","0","18","25","31","37","38","47","36","15","14","23","24","7","10","0","18","15","17","0","18","0","18"
"8600000US64111","ZCTA5 64111","629","168","229","89","8","12","0","18","0","18","0","18","0","18","23","21","84","55","22","21","61","31","9","13","13","15","9","16","0","18","0","18","400","122","0","18","9","17","64","59","0","18","4","6","39","32","126","66","42","37","37","35","3","5","59","45","10","16","7","11","0","18"
"8600000US64112","ZCTA5 64112","370","156","188","108","20","31","0","16","20","31","0","16","0","16","26","24","60","59","39","39","4","8","10","18","9","14","0","16","0","16","0","16","182","82","3","6","0","16","4","7","4","7","7","15","30","27","52","39","38","34","11","12","25","37","0","16","0","16","8","12","0","16"
