"GEO_ID","NAME","B01001G_001E","B01001G_001M","B01001G_002E","B01001G_002M","B01001G_003E","B01001G_003M","B01001G_004E","B01001G_004M","B01001G_005E","B01001G_005M","B01001G_006E","B01001G_006M","B01001G_007E","B01001G_007M","B01001G_008E","B01001G_008M","B01001G_009E","B01001G_009M","B01001G_010E","B01001G_010M","B01001G_011E","B01001G_011M","B01001G_012E","B01001G_012M","B01001G_013E","B01001G_013M","B01001G_014E","B01001G_014M","B01001G_015E","B01001G_015M","B01001G_016E","B01001G_016M","B01001G_017E","B01001G_017M","B01001G_018E","B01001G_018M","B01001G_019E","B01001G_019M","B01001G_020E","B01001G_020M","B01001G_021E","B01001G_021M","B01001G_022E","B01001G_022M","B01001G_023E","B01001G_023M","B01001G_024E","B01001G_024M","B01001G_025E","B01001G_025M","B01001G_026E","B01001G_026M","B01001G_027E","B01001G_027M","B01001G_028E","B01001G_028M","B01001G_029E","B01001G_029M","B01001G_030E","B01001G_030M","B01001G_031E","B01001G_031M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Margin of Error!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Margin of Error!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Margin of Error!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Margin of Error!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Margin of Error!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 to 24 years","Margin of Error!!Total:!!Male:!!20 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Margin of Error!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Margin of Error!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 44 years","Margin of Error!!Total:!!Male:!!35 to 44 years","Estimate!!Total:!!Male:!!45 to 54 years","Margin of Error!!Total:!!Male:!!45 to 54 years","Estimate!!Total:!!Male:!!55 to 64 years","Margin of Error!!Total:!!Male:!!55 to 64 years","Estimate!!Total:!!Male:!!65 to 74 years","Margin of Error!!Total:!!Male:!!65 to 74 years","Estimate!!Total:!!Male:!!75 to 84 years","Margin of Error!!Total:!!Male:!!75 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Margin of Error!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Margin of Error!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Margin of Error!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Margin of Error!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Margin of Error!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Margin of Error!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 to 24 years","Margin of Error!!Total:!!Female:!!20 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Margin of Error!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Margin of Error!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 44 years","Margin of Error!!Total:!!Female:!!35 to 44 years","Estimate!!Total:!!Female:!!45 to 54 years","Margin of Error!!Total:!!Female:!!45 to 54 years","Estimate!!Total:!!Female:!!55 to 64 years","Margin of Error!!Total:!!Female:!!55 to 64 years","Estimate!!Total:!!Female:!!65 to 74 years","Margin of Error!!Total:!!Female:!!65 to 74 years","Estimate!!Total:!!Female:!!75 to 84 years","Margin of Error!!Total:!!Female:!!75 to 84 years","Estimate!!Total:!!Female:!!85 years and over","Margin of Error!!Total:!!Female:!!85 years and over"
"8600000US64101","ZCTA5 64101","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64102","ZCTA5 64102","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64105","ZCTA5 64105","143","65","60","44","0","16","0","16","0","16","0","16","0","16","0","16","40","43","0","16","11","18","0","16","0","16","9","14","0","16","0","16","83","47","0","16","0","16","0","16","0","16","0","16","33","37","35","40","15","24","0","16","0","16","0","16","0","16","0","16","0","16"
"8600000US64106","ZCTA5 64106","171","94","124","76","62","61","0","16","0","16","14","31","0","16","8","13","0","16","15","21","21","31","0","16","4","8","0","16","0","16","0","16","47","35","0","16","0","16","0","16","0","16","5","10","24","29","9","14","0","16","0","16","0","16","9","13","0","16","0","16","0","16"
"8600000US64108","ZCTA5 64108","287","138","85","45","0","16","32","34","0","16","0","16","0","16","0","16","32","23","7","18","14","15","0","16","0","16","0","16","0","16","0","16","202","109","6","10","25","32","23","32","0","16","23","32","43","67","39","38","5","8","38","33","0","16","0","16","0","16","0","16","0","16"
"8600000US64109","ZCTA5 64109","333","136","141","71","0","16","19","23","7","10","8","13","0","16","14","16","0","16","58","59","15","16","7","11","13","18","0","16","0","16","0","16","192","96","18","26","0","16","26","34","14","22","4","6","0","16","20","31","0","16","19","18","12","25","74","55","0","16","5","8","0","16"
"8600000US64110","ZCTA5 64110","361","110","207","79","0","18","0","18","18","15","4","7","13","17","25","21","29","37","45","35","11","13","16","15","26","21","20","32","0","18","0","18","154","63","21","29","21","18","0","18","0","18","27","19","10","15","0","18","9","13","0","18","22","24","22","20","10","12","12","16","0","18"
"8600000US64111","ZCTA5 64111","770","259","353","172","61","49","0","18","0","18","0","18","0","18","1","3","120","138","58","57","30","31","55","42","14","18","0","18","14","22","0","18","417","148","31","30","114","80","44","16","10","14","6","12","63","65","38","29","52","45","42","47","9","16","8","12","0","18","0","18","0","18"
"8600000US64112","ZCTA5 64112","258","112","159","79","0","16","0","16","0","16","0","16","19","31","25","30","47","44","9","14","23","28","29","32","0","16","7","12","0","16","0","16","99","82","9","14","0","16","0","16","4","8","0","16","48","66","19","31","0","16","8","11","5","8","6","9","0","16","0","16","0","16"
