"GEO_ID","NAME","B01001H_001E","B01001H_001M","B01001H_002E","B01001H_002M","B01001H_003E","B01001H_003M","B01001H_004E","B01001H_004M","B01001H_005E","B01001H_005M","B01001H_006E","B01001H_006M","B01001H_007E","B01001H_007M","B01001H_008E","B01001H_008M","B01001H_009E","B01001H_009M","B01001H_010E","B01001H_010M","B01001H_011E","B01001H_011M","B01001H_012E","B01001H_012M","B01001H_013E","B01001H_013M","B01001H_014E","B01001H_014M","B01001H_015E","B01001H_015M","B01001H_016E","B01001H_016M","B01001H_017E","B01001H_017M","B01001H_018E","B01001H_018M","B01001H_019E","B01001H_019M","B01001H_020E","B01001H_020M","B01001H_021E","B01001H_021M","B01001H_022E","B01001H_022M","B01001H_023E","B01001H_023M","B01001H_024E","B01001H_024M","B01001H_025E","B01001H_025M","B01001H_026E","B01001H_026M","B01001H_027E","B01001H_027M","B01001H_028E","B01001H_028M","B01001H_029E","B01001H_029M","B01001H_030E","B01001H_030M","B01001H_031E","B01001H_031M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Margin of Error!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Margin of Error!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Margin of Error!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Margin of Error!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Margin of Error!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 to 24 years","Margin of Error!!Total:!!Male:!!20 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Margin of Error!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Margin of Error!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 44 years","Margin of Error!!Total:!!Male:!!35 to 44 years","Estimate!!Total:!!Male:!!45 to 54 years","Margin of Error!!Total:!!Male:!!45 to 54 years","Estimate!!Total:!!Male:!!55 to 64 years","Margin of Error!!Total:!!Male:!!55 to 64 years","Estimate!!Total:!!Male:!!65 to 74 years","Margin of Error!!Total:!!Male:!!65 to 74 years","Estimate!!Total:!!Male:!!75 to 84 years","Margin of Error!!Total:!!Male:!!75 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Margin of Error!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Margin of Error!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Margin of Error!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Margin of Error!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Margin of Error!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Margin of Error!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 to 24 years","Margin of Error!!Total:!!Female:!!20 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Margin of Error!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Margin of Error!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 44 years","Margin of Error!!Total:!!Female:!!35 to 44 years","Estimate!!Total:!!Female:!!45 to 54 years","Margin of Error!!Total:!!Female:!!45 to 54 years","Estimate!!Total:!!Female:!!55 to 64 years","Margin of Error!!Total:!!Female:!!55 to 64 years","Estimate!!Total:!!Female:!!65 to 74 years","Margin of Error!!Total:!!Female:!!65 to 74 years","Estimate!!Total:!!Female:!!75 to 84 years","Margin of Error!!Total:!!Female:!!75 to 84 years","Estimate!!Total:!!Female:!!85 years and over","Margin of Error!!Total:!!Female:!!85 years and over"
"8600000US64101","ZCTA5 64101","138","203","138","203","0","11","0","11","0","11","0","11","0","11","12","19","13","20","27","42","26","39","60","84","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64102","ZCTA5 64102","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64105","ZCTA5 64105","3827","338","2037","261","0","16","2","6","0","16","0","16","0","16","390","147","612","131","349","112","217","77","218","103","154","96","83","34","12","15","0","16","1790","245","24","28","0","16","0","16","0","16","0","16","361","103","624","155","259","105","141","65","165","79","119","82","60","31","28","24","9","15"
"8600000US64106","ZCTA5 64106","3797","377","2300","242","23","27","22","23","0","16","0","16","24","23","237","86","503","137","325","103","550","121","279","95","215","75","103","49","15","14","4","7","1497","210","67","48","24","27","21","21","17","19","15","32","180","82","365","118","252","88","171","64","123","55","176","63","67","45","13","14","6","9"
"8600000US64108","ZCTA5 64108","3951","312","2228","228","80","40","0","16","27","26","24","22","6","8","175","62","611","120","255","68","372","111","183","69","290","89","142","65","63","36","0","16","1723","185","5","8","6","8","33","40","33","48","19","21","194","61","351","80","237","69","221","83","185","68","231","76","131","61","77","44","0","16"
"8600000US64109","ZCTA5 64109","3406","363","1596","212","44","30","83","50","30","35","7","15","5","8","210","80","227","78","187","64","240","67","140","57","305","94","71","34","39","27","8","17","1810","257","76","48","56","41","5","9","49","32","20","19","261","86","245","94","213","86","262","74","255","117","204","61","79","37","85","46","0","16"
"8600000US64110","ZCTA5 64110","8390","619","4291","442","255","81","132","78","77","46","22","23","309","149","564","218","702","147","501","111","547","109","528","127","327","99","243","109","76","36","8","10","4099","391","219","90","114","53","10","11","32","36","383","154","675","196","550","142","435","109","632","111","304","90","351","72","269","71","93","44","32","29"
"8600000US64111","ZCTA5 64111","12965","924","6798","572","187","117","115","119","93","85","36","31","16","17","565","165","1542","397","1236","244","992","226","636","156","707","173","430","121","163","69","80","37","6167","619","203","172","163","142","122","78","111","87","45","21","1078","211","1228","268","779","233","741","182","597","149","469","134","303","98","119","62","209","92"
"8600000US64112","ZCTA5 64112","7483","547","3679","403","85","38","70","37","79","39","28","24","62","42","464","239","794","280","239","77","354","96","261","94","583","156","449","103","154","61","57","35","3804","321","69","35","62","36","99","49","74","39","97","53","501","181","723","176","224","84","404","133","317","97","588","160","433","88","153","63","60","30"
