"GEO_ID","NAME","B01001I_001E","B01001I_001M","B01001I_002E","B01001I_002M","B01001I_003E","B01001I_003M","B01001I_004E","B01001I_004M","B01001I_005E","B01001I_005M","B01001I_006E","B01001I_006M","B01001I_007E","B01001I_007M","B01001I_008E","B01001I_008M","B01001I_009E","B01001I_009M","B01001I_010E","B01001I_010M","B01001I_011E","B01001I_011M","B01001I_012E","B01001I_012M","B01001I_013E","B01001I_013M","B01001I_014E","B01001I_014M","B01001I_015E","B01001I_015M","B01001I_016E","B01001I_016M","B01001I_017E","B01001I_017M","B01001I_018E","B01001I_018M","B01001I_019E","B01001I_019M","B01001I_020E","B01001I_020M","B01001I_021E","B01001I_021M","B01001I_022E","B01001I_022M","B01001I_023E","B01001I_023M","B01001I_024E","B01001I_024M","B01001I_025E","B01001I_025M","B01001I_026E","B01001I_026M","B01001I_027E","B01001I_027M","B01001I_028E","B01001I_028M","B01001I_029E","B01001I_029M","B01001I_030E","B01001I_030M","B01001I_031E","B01001I_031M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Margin of Error!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Margin of Error!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Margin of Error!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Margin of Error!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Margin of Error!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 to 24 years","Margin of Error!!Total:!!Male:!!20 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Margin of Error!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Margin of Error!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 44 years","Margin of Error!!Total:!!Male:!!35 to 44 years","Estimate!!Total:!!Male:!!45 to 54 years","Margin of Error!!Total:!!Male:!!45 to 54 years","Estimate!!Total:!!Male:!!55 to 64 years","Margin of Error!!Total:!!Male:!!55 to 64 years","Estimate!!Total:!!Male:!!65 to 74 years","Margin of Error!!Total:!!Male:!!65 to 74 years","Estimate!!Total:!!Male:!!75 to 84 years","Margin of Error!!Total:!!Male:!!75 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Margin of Error!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Margin of Error!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Margin of Error!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Margin of Error!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Margin of Error!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Margin of Error!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 to 24 years","Margin of Error!!Total:!!Female:!!20 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Margin of Error!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Margin of Error!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 44 years","Margin of Error!!Total:!!Female:!!35 to 44 years","Estimate!!Total:!!Female:!!45 to 54 years","Margin of Error!!Total:!!Female:!!45 to 54 years","Estimate!!Total:!!Female:!!55 to 64 years","Margin of Error!!Total:!!Female:!!55 to 64 years","Estimate!!Total:!!Female:!!65 to 74 years","Margin of Error!!Total:!!Female:!!65 to 74 years","Estimate!!Total:!!Female:!!75 to 84 years","Margin of Error!!Total:!!Female:!!75 to 84 years","Estimate!!Total:!!Female:!!85 years and over","Margin of Error!!Total:!!Female:!!85 years and over"
"8600000US64101","ZCTA5 64101","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64102","ZCTA5 64102","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64105","ZCTA5 64105","318","121","164","76","0","16","0","16","0","16","0","16","0","16","0","16","98","64","29","28","0","16","0","16","6","11","19","22","12","19","0","16","154","81","0","16","0","16","0","16","10","15","0","16","11","16","52","46","0","16","34","35","9","15","0","16","28","32","0","16","10","15"
"8600000US64106","ZCTA5 64106","856","321","365","149","107","91","90","78","11","21","0","16","13","19","7","11","53","45","12","18","21","31","18","22","0","16","26","24","0","16","7","11","491","188","106","82","56","55","9","14","0","16","11","14","84","57","69","50","46","44","37","26","11","18","13","18","22","17","12","14","15","22"
"8600000US64108","ZCTA5 64108","2142","294","1072","182","92","83","94","73","51","56","24","37","51","54","40","41","95","58","29","27","207","73","150","93","112","62","75","45","52","48","0","16","1070","197","44","54","60","52","58","62","34","48","40","42","121","70","63","51","24","19","109","40","137","80","182","90","83","56","54","39","61","48"
"8600000US64109","ZCTA5 64109","1079","301","597","179","22","28","94","54","47","49","0","16","20","21","52","53","130","76","56","43","125","58","9","13","26","27","6","9","10","16","0","16","482","159","125","88","5","9","18","24","11","17","13","18","32","24","45","30","71","46","48","26","56","49","24","19","26","34","8","14","0","16"
"8600000US64110","ZCTA5 64110","894","234","532","170","39","53","12","18","38","34","25","25","32","36","58","47","56","39","38","36","116","71","45","38","48","31","13","18","12","17","0","18","362","109","34","51","18","23","6","11","16","18","29","28","65","37","9","13","49","37","52","33","35","27","22","25","15","20","12","16","0","18"
"8600000US64111","ZCTA5 64111","1869","419","835","223","34","31","51","55","15","23","0","18","58","64","94","95","66","46","115","103","146","124","70","61","86","52","42","63","47","51","11","13","1034","269","68","72","50","58","74","49","44","58","10","11","110","88","98","69","96","62","169","89","180","110","13","22","53","57","46","43","23","32"
"8600000US64112","ZCTA5 64112","277","102","138","83","0","16","0","16","0","16","0","16","26","34","0","16","19","27","14","21","11","18","17","21","32","37","13","19","6","8","0","16","139","60","0","16","0","16","0","16","0","16","7","13","8","15","38","44","7","11","22","25","0","16","52","37","0","16","5","7","0","16"
