"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"8600000US64101","ZCTA5 64101","322","444"
"8600000US64102","ZCTA5 64102","0","11"
"8600000US64105","ZCTA5 64105","5003","368"
"8600000US64106","ZCTA5 64106","9798","1020"
"8600000US64108","ZCTA5 64108","8450","473"
"8600000US64109","ZCTA5 64109","9744","549"
"8600000US64110","ZCTA5 64110","16619","874"
"8600000US64111","ZCTA5 64111","17942","980"
"8600000US64112","ZCTA5 64112","8666","582"
"8600000US64113","ZCTA5 64113","12129","567"
"8600000US64114","ZCTA5 64114","24548","1084"
"8600000US64116","ZCTA5 64116","15824","778"
"8600000US64117","ZCTA5 64117","14244","870"
"8600000US64118","ZCTA5 64118","42952","1200"
"8600000US64119","ZCTA5 64119","28513","1190"
"8600000US64120","ZCTA5 64120","406","187"
"8600000US64123","ZCTA5 64123","9830","887"
"8600000US64124","ZCTA5 64124","11366","1145"
"8600000US64125","ZCTA5 64125","1740","438"
"8600000US64126","ZCTA5 64126","6606","856"
"8600000US64127","ZCTA5 64127","15772","1025"
"8600000US64128","ZCTA5 64128","11844","768"
"8600000US64129","ZCTA5 64129","8615","737"
"8600000US64130","ZCTA5 64130","20170","1408"
"8600000US64131","ZCTA5 64131","22676","1606"
"8600000US64132","ZCTA5 64132","14206","1187"
"8600000US64133","ZCTA5 64133","34958","1176"
"8600000US64134","ZCTA5 64134","23219","1319"
"8600000US64136","ZCTA5 64136","2089","437"
"8600000US64137","ZCTA5 64137","10961","741"
"8600000US64138","ZCTA5 64138","25417","1099"
"8600000US64139","ZCTA5 64139","2362","438"
"8600000US64145","ZCTA5 64145","5060","424"
"8600000US64146","ZCTA5 64146","1618","286"
"8600000US64147","ZCTA5 64147","602","186"
"8600000US64149","ZCTA5 64149","330","126"
"8600000US64150","ZCTA5 64150","3427","55"
"8600000US64151","ZCTA5 64151","27061","904"
"8600000US64152","ZCTA5 64152","29029","659"
"8600000US64153","ZCTA5 64153","5725","456"
"8600000US64154","ZCTA5 64154","11258","709"
"8600000US64155","ZCTA5 64155","23905","958"
"8600000US64156","ZCTA5 64156","8168","598"
"8600000US64157","ZCTA5 64157","20051","634"
"8600000US64158","ZCTA5 64158","5096","454"
"8600000US64161","ZCTA5 64161","359","109"
"8600000US64163","ZCTA5 64163","870","211"
"8600000US64164","ZCTA5 64164","238","188"
"8600000US64165","ZCTA5 64165","503","353"
"8600000US64166","ZCTA5 64166","199","110"
"8600000US64167","ZCTA5 64167","572","213"
