"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"8600000US64101","ZCTA5 64101","322","444","138","203","177","243","7","13","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64102","ZCTA5 64102","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64105","ZCTA5 64105","5003","368","4096","358","514","124","16","19","170","80","24","40","40","48","143","65","0","16","143","65"
"8600000US64106","ZCTA5 64106","9798","1020","4388","437","4283","943","39","38","699","240","8","15","210","183","171","94","0","16","171","94"
"8600000US64108","ZCTA5 64108","8450","473","5115","470","1901","309","43","52","216","96","37","36","851","263","287","138","85","96","202","98"
"8600000US64109","ZCTA5 64109","9744","549","4100","404","4687","450","62","53","214","157","21","29","327","183","333","136","13","21","320","136"
"8600000US64110","ZCTA5 64110","16619","874","8909","614","6410","581","69","46","539","220","5","8","326","154","361","110","12","16","349","108"
"8600000US64111","ZCTA5 64111","17942","980","14196","939","1826","601","0","18","629","168","21","32","500","301","770","259","117","96","653","240"
"8600000US64112","ZCTA5 64112","8666","582","7660","534","309","272","0","16","370","156","0","16","69","51","258","112","31","37","227","107"
"8600000US64113","ZCTA5 64113","12129","567","11305","581","198","98","54","82","211","147","13","21","28","25","320","149","0","18","320","149"
"8600000US64114","ZCTA5 64114","24548","1084","19510","756","2693","505","27","28","338","101","14","22","576","368","1390","488","100","87","1290","488"
"8600000US64116","ZCTA5 64116","15824","778","12744","761","1162","334","32","44","745","312","46","68","411","225","684","309","27","45","657","307"
"8600000US64117","ZCTA5 64117","14244","870","10474","778","2092","535","30","28","465","256","0","18","508","322","675","238","40","48","635","241"
"8600000US64118","ZCTA5 64118","42952","1200","33605","1163","4407","675","325","301","1411","457","293","262","1145","449","1766","453","160","111","1606","461"
"8600000US64119","ZCTA5 64119","28513","1190","23414","1091","1659","438","218","167","776","321","211","273","491","249","1744","505","217","228","1527","490"
"8600000US64120","ZCTA5 64120","406","187","358","191","17","19","0","11","10","15","0","11","21","28","0","11","0","11","0","11"
"8600000US64123","ZCTA5 64123","9830","887","4605","819","1568","455","65","87","953","407","0","16","1983","608","656","330","190","128","466","295"
