"GEO_ID","NAME","B04007_001E","B04007_001M","B04007_002E","B04007_002M","B04007_003E","B04007_003M","B04007_004E","B04007_004M","B04007_005E","B04007_005M","B04007_006E","B04007_006M","B04007_007E","B04007_007M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Ancestry specified:","Margin of Error!!Total:!!Ancestry specified:","Estimate!!Total:!!Ancestry specified:!!Single ancestry","Margin of Error!!Total:!!Ancestry specified:!!Single ancestry","Estimate!!Total:!!Ancestry specified:!!Multiple ancestry","Margin of Error!!Total:!!Ancestry specified:!!Multiple ancestry","Estimate!!Total:!!Ancestry not specified:","Margin of Error!!Total:!!Ancestry not specified:","Estimate!!Total:!!Ancestry not specified:!!Ancestry unclassified","Margin of Error!!Total:!!Ancestry not specified:!!Ancestry unclassified","Estimate!!Total:!!Ancestry not specified:!!Ancestry not reported","Margin of Error!!Total:!!Ancestry not specified:!!Ancestry not reported"
"8600000US64101","ZCTA5 64101","322","444","28","18","28","18","0","11","294","444","0","11","294","444"
"8600000US64102","ZCTA5 64102","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64105","ZCTA5 64105","5003","368","4355","360","2447","289","1908","261","648","142","162","74","486","123"
"8600000US64106","ZCTA5 64106","9798","1020","8279","985","6095","836","2184","538","1519","352","204","102","1315","326"
"8600000US64108","ZCTA5 64108","8450","473","7100","424","4995","365","2105","262","1350","295","177","74","1173","274"
"8600000US64109","ZCTA5 64109","9744","549","8053","524","6233","493","1820","285","1691","321","214","105","1477","301"
"8600000US64110","ZCTA5 64110","16619","874","13695","680","9655","649","4040","386","2924","447","236","100","2688","432"
"8600000US64111","ZCTA5 64111","17942","980","14336","1089","8348","901","5988","726","3606","684","392","132","3214","680"
"8600000US64112","ZCTA5 64112","8666","582","6675","539","3789","474","2886","308","1991","427","220","126","1771","435"
"8600000US64113","ZCTA5 64113","12129","567","10387","564","5238","465","5149","506","1742","451","303","148","1439","416"
"8600000US64114","ZCTA5 64114","24548","1084","20218","1017","11607","816","8611","757","4330","525","488","161","3842","544"
"8600000US64116","ZCTA5 64116","15824","778","12498","790","7420","878","5078","623","3326","543","479","280","2847","500"
"8600000US64117","ZCTA5 64117","14244","870","10910","855","7144","721","3766","495","3334","609","391","161","2943","590"
"8600000US64118","ZCTA5 64118","42952","1200","32829","1432","19304","1449","13525","1225","10123","1243","1588","334","8535","1226"
"8600000US64119","ZCTA5 64119","28513","1190","21898","1038","12328","957","9570","914","6615","918","771","209","5844","902"
"8600000US64120","ZCTA5 64120","406","187","299","177","218","172","81","46","107","74","0","11","107","74"
"8600000US64123","ZCTA5 64123","9830","887","8962","933","7539","899","1423","378","868","220","74","55","794","221"
"8600000US64124","ZCTA5 64124","11366","1145","9913","1121","8644","1072","1269","331","1453","435","119","83","1334","417"
"8600000US64125","ZCTA5 64125","1740","438","1533","420","1222","417","311","109","207","98","38","49","169","79"
"8600000US64126","ZCTA5 64126","6606","856","5751","890","5119","892","632","286","855","265","99","103","756","260"
"8600000US64127","ZCTA5 64127","15772","1025","13637","1046","11650","973","1987","438","2135","473","265","176","1870","439"
"8600000US64128","ZCTA5 64128","11844","768","10647","752","9412","686","1235","303","1197","260","45","38","1152","260"
"8600000US64129","ZCTA5 64129","8615","737","7651","742","6061","688","1590","349","964","249","37","29","927","250"
"8600000US64130","ZCTA5 64130","20170","1408","17361","1389","16164","1379","1197","254","2809","547","257","149","2552","537"
"8600000US64131","ZCTA5 64131","22676","1606","18454","1149","13343","1229","5111","727","4222","1227","341","149","3881","1203"
"8600000US64132","ZCTA5 64132","14206","1187","12126","1216","10910","1130","1216","339","2080","476","182","154","1898","415"
"8600000US64133","ZCTA5 64133","34958","1176","26251","1183","20022","1169","6229","677","8707","968","1001","292","7706","961"
"8600000US64134","ZCTA5 64134","23219","1319","19572","1262","16448","1380","3124","637","3647","583","233","96","3414","559"
"8600000US64136","ZCTA5 64136","2089","437","1734","405","1253","340","481","215","355","167","0","11","355","167"
"8600000US64137","ZCTA5 64137","10961","741","8714","826","6325","790","2389","427","2247","434","254","179","1993","398"
