"GEO_ID","NAME","B05003_001E","B05003_001M","B05003_002E","B05003_002M","B05003_003E","B05003_003M","B05003_004E","B05003_004M","B05003_005E","B05003_005M","B05003_006E","B05003_006M","B05003_007E","B05003_007M","B05003_008E","B05003_008M","B05003_009E","B05003_009M","B05003_010E","B05003_010M","B05003_011E","B05003_011M","B05003_012E","B05003_012M","B05003_013E","B05003_013M","B05003_014E","B05003_014M","B05003_015E","B05003_015M","B05003_016E","B05003_016M","B05003_017E","B05003_017M","B05003_018E","B05003_018M","B05003_019E","B05003_019M","B05003_020E","B05003_020M","B05003_021E","B05003_021M","B05003_022E","B05003_022M","B05003_023E","B05003_023M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 18 years:","Margin of Error!!Total:!!Male:!!Under 18 years:","Estimate!!Total:!!Male:!!Under 18 years:!!Native","Margin of Error!!Total:!!Male:!!Under 18 years:!!Native","Estimate!!Total:!!Male:!!Under 18 years:!!Foreign born:","Margin of Error!!Total:!!Male:!!Under 18 years:!!Foreign born:","Estimate!!Total:!!Male:!!Under 18 years:!!Foreign born:!!Naturalized U.S. citizen","Margin of Error!!Total:!!Male:!!Under 18 years:!!Foreign born:!!Naturalized U.S. citizen","Estimate!!Total:!!Male:!!Under 18 years:!!Foreign born:!!Not a U.S. citizen","Margin of Error!!Total:!!Male:!!Under 18 years:!!Foreign born:!!Not a U.S. citizen","Estimate!!Total:!!Male:!!18 years and over:","Margin of Error!!Total:!!Male:!!18 years and over:","Estimate!!Total:!!Male:!!18 years and over:!!Native","Margin of Error!!Total:!!Male:!!18 years and over:!!Native","Estimate!!Total:!!Male:!!18 years and over:!!Foreign born:","Margin of Error!!Total:!!Male:!!18 years and over:!!Foreign born:","Estimate!!Total:!!Male:!!18 years and over:!!Foreign born:!!Naturalized U.S. citizen","Margin of Error!!Total:!!Male:!!18 years and over:!!Foreign born:!!Naturalized U.S. citizen","Estimate!!Total:!!Male:!!18 years and over:!!Foreign born:!!Not a U.S. citizen","Margin of Error!!Total:!!Male:!!18 years and over:!!Foreign born:!!Not a U.S. citizen","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 18 years:","Margin of Error!!Total:!!Female:!!Under 18 years:","Estimate!!Total:!!Female:!!Under 18 years:!!Native","Margin of Error!!Total:!!Female:!!Under 18 years:!!Native","Estimate!!Total:!!Female:!!Under 18 years:!!Foreign born:","Margin of Error!!Total:!!Female:!!Under 18 years:!!Foreign born:","Estimate!!Total:!!Female:!!Under 18 years:!!Foreign born:!!Naturalized U.S. citizen","Margin of Error!!Total:!!Female:!!Under 18 years:!!Foreign born:!!Naturalized U.S. citizen","Estimate!!Total:!!Female:!!Under 18 years:!!Foreign born:!!Not a U.S. citizen","Margin of Error!!Total:!!Female:!!Under 18 years:!!Foreign born:!!Not a U.S. citizen","Estimate!!Total:!!Female:!!18 years and over:","Margin of Error!!Total:!!Female:!!18 years and over:","Estimate!!Total:!!Female:!!18 years and over:!!Native","Margin of Error!!Total:!!Female:!!18 years and over:!!Native","Estimate!!Total:!!Female:!!18 years and over:!!Foreign born:","Margin of Error!!Total:!!Female:!!18 years and over:!!Foreign born:","Estimate!!Total:!!Female:!!18 years and over:!!Foreign born:!!Naturalized U.S. citizen","Margin of Error!!Total:!!Female:!!18 years and over:!!Foreign born:!!Naturalized U.S. citizen","Estimate!!Total:!!Female:!!18 years and over:!!Foreign born:!!Not a U.S. citizen","Margin of Error!!Total:!!Female:!!18 years and over:!!Foreign born:!!Not a U.S. citizen"
"8600000US64101","ZCTA5 64101","322","444","322","444","0","11","0","11","0","11","0","11","0","11","322","444","322","444","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64102","ZCTA5 64102","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64105","ZCTA5 64105","5003","368","2656","296","2","6","2","6","0","16","0","16","0","16","2654","297","2486","305","168","76","99","60","69","51","2347","286","146","29","146","29","0","16","0","16","0","16","2201","278","2025","257","176","99","72","48","104","77"
"8600000US64106","ZCTA5 64106","9798","1020","5694","681","1269","408","1127","385","142","127","16","25","126","114","4425","554","3919","542","506","180","163","69","343","164","4104","458","867","224","702","234","165","93","27","24","138","91","3237","349","2731","344","506","134","189","77","317","126"
"8600000US64108","ZCTA5 64108","8450","473","4360","332","648","164","648","164","0","16","0","16","0","16","3712","340","3310","321","402","147","209","70","193","135","4090","323","424","127","377","125","47","56","0","16","47","56","3666","268","3220","285","446","128","219","84","227","103"
"8600000US64109","ZCTA5 64109","9744","549","4838","424","732","175","718","169","14","23","0","16","14","23","4106","349","3888","343","218","96","61","40","157","85","4906","349","650","136","619","135","31","24","20","19","11","17","4256","309","3870","316","386","167","172","75","214","156"
"8600000US64110","ZCTA5 64110","16619","874","8054","712","1319","220","1266","225","53","48","13","19","40","35","6735","673","6137","625","598","146","161","69","437","135","8565","552","1456","206","1446","207","10","11","0","18","10","11","7109","468","6676","460","433","115","163","65","270","92"
"8600000US64111","ZCTA5 64111","17942","980","9456","648","666","217","613","199","53","57","25","40","28","35","8790","633","7940","613","850","260","467","185","383","204","8486","650","1139","369","1070","364","69","60","49","53","20","23","7347","515","6675","503","672","172","219","97","453","155"
"8600000US64112","ZCTA5 64112","8666","582","4331","449","310","75","270","67","40","43","0","16","40","43","4021","437","3832","442","189","75","73","33","116","66","4335","322","328","83","317","84","11","17","8","15","3","6","4007","318","3738","322","269","112","101","52","168","99"
"8600000US64113","ZCTA5 64113","12129","567","5936","275","1403","168","1398","168","5","7","5","7","0","18","4533","206","4401","208","132","82","68","47","64","69","6193","419","1433","262","1422","262","11","13","11","13","0","18","4760","250","4531","266","229","92","83","50","146","83"
"8600000US64114","ZCTA5 64114","24548","1084","11581","626","1616","259","1602","256","14","15","8","12","6","12","9965","544","9475","529","490","121","202","72","288","100","12967","707","1991","424","1966","432","25","33","25","33","0","21","10976","499","10414","481","562","142","332","113","230","98"
"8600000US64116","ZCTA5 64116","15824","778","7778","578","1109","254","1093","256","16","26","16","26","0","18","6669","534","5913","576","756","267","462","238","294","125","8046","546","1116","240","1103","236","13","22","13","22","0","18","6930","472","6097","460","833","224","571","188","262","105"
"8600000US64117","ZCTA5 64117","14244","870","7018","566","1643","359","1475","314","168","136","14","18","154","134","5375","428","4449","422","926","277","598","199","328","201","7226","518","1911","310","1844","312","67","61","67","61","0","18","5315","371","4455","353","860","246","482","171","378","161"
"8600000US64118","ZCTA5 64118","42952","1200","21094","784","5220","412","5093","411","127","90","83","76","44","48","15874","732","14523","725","1351","312","719","233","632","195","21858","815","4778","485","4640","475","138","110","47","46","91","98","17080","642","15744","681","1336","339","728","248","608","195"
"8600000US64119","ZCTA5 64119","28513","1190","14217","729","3115","401","3055","387","60","73","0","21","60","73","11102","549","10368","528","734","256","512","222","222","100","14296","693","2466","331","2404","323","62","57","23","28","39","46","11830","575","10893","570","937","293","612","231","325","154"
"8600000US64120","ZCTA5 64120","406","187","188","99","68","67","68","67","0","11","0","11","0","11","120","57","87","52","33","29","33","29","0","11","218","108","50","62","50","62","0","11","0","11","0","11","168","71","162","69","6","13","0","11","6","13"
"8600000US64123","ZCTA5 64123","9830","887","5031","550","1585","370","1161","337","424","198","17","14","407","200","3446","393","2163","388","1283","306","465","161","818","278","4799","573","1683","346","1432","333","251","158","0","16","251","158","3116","368","1960","316","1156","230","429","166","727","194"
"8600000US64124","ZCTA5 64124","11366","1145","5841","667","1736","390","1535","360","201","174","12","20","189","164","4105","429","2484","354","1621","321","687","221","934","268","5525","617","1600","370","1421","298","179","130","0","18","179","130","3925","349","2370","349","1555","207","494","156","1061","224"
"8600000US64125","ZCTA5 64125","1740","438","909","251","205","79","193","78","12","18","0","11","12","18","704","206","640","206","64","45","15","17","49","42","831","219","248","128","248","128","0","11","0","11","0","11","583","125","414","119","169","65","10","13","159","64"
"8600000US64126","ZCTA5 64126","6606","856","3278","435","1371","399","1201","397","170","111","0","16","170","111","1907","247","960","177","947","198","130","86","817","202","3328","547","1051","385","1002","393","49","61","43","60","6","11","2277","286","1474","317","803","208","194","130","609","184"
