"GEO_ID","NAME","S1602_C01_001E","S1602_C01_001M","S1602_C01_002E","S1602_C01_002M","S1602_C01_003E","S1602_C01_003M","S1602_C01_004E","S1602_C01_004M","S1602_C01_005E","S1602_C01_005M","S1602_C02_001E","S1602_C02_001M","S1602_C02_002E","S1602_C02_002M","S1602_C02_003E","S1602_C02_003M","S1602_C02_004E","S1602_C02_004M","S1602_C02_005E","S1602_C02_005M","S1602_C03_001E","S1602_C03_001M","S1602_C03_002E","S1602_C03_002M","S1602_C03_003E","S1602_C03_003M","S1602_C03_004E","S1602_C03_004M","S1602_C03_005E","S1602_C03_005M","S1602_C04_001E","S1602_C04_001M","S1602_C04_002E","S1602_C04_002M","S1602_C04_003E","S1602_C04_003M","S1602_C04_004E","S1602_C04_004M","S1602_C04_005E","S1602_C04_005M"
"id","Geographic Area Name","Estimate!!Total!!All households","Margin of Error!!Total!!All households","Estimate!!Total!!All households!!Households speaking --!!Spanish","Margin of Error!!Total!!All households!!Households speaking --!!Spanish","Estimate!!Total!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Total!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Total!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Total!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Total!!All households!!Households speaking --!!Other languages","Margin of Error!!Total!!All households!!Households speaking --!!Other languages","Estimate!!Percent!!All households","Margin of Error!!Percent!!All households","Estimate!!Percent!!All households!!Households speaking --!!Spanish","Margin of Error!!Percent!!All households!!Households speaking --!!Spanish","Estimate!!Percent!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Percent!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Percent!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Percent!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Percent!!All households!!Households speaking --!!Other languages","Margin of Error!!Percent!!All households!!Households speaking --!!Other languages","Estimate!!Limited English-speaking households!!All households","Margin of Error!!Limited English-speaking households!!All households","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Spanish","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Spanish","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Other languages","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Other languages","Estimate!!Percent limited English-speaking households!!All households","Margin of Error!!Percent limited English-speaking households!!All households","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Spanish","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Spanish","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Other languages","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Other languages"
"8600000US64101","ZCTA5 64101","15","23","0","11","0","11","0","11","0","11","(X)","(X)","0.0","73.6","0.0","73.6","0.0","73.6","0.0","73.6","0","11","0","11","0","11","0","11","0","11","0.0","73.6","-","**","-","**","-","**","-","**"
"8600000US64102","ZCTA5 64102","0","11","0","11","0","11","0","11","0","11","(X)","(X)","-","**","-","**","-","**","-","**","0","11","0","11","0","11","0","11","0","11","-","**","-","**","-","**","-","**","-","**"
"8600000US64105","ZCTA5 64105","3660","243","162","67","53","40","77","42","108","86","(X)","(X)","4.4","1.8","1.4","1.1","2.1","1.1","3.0","2.4","117","51","37","37","7","11","40","31","33","36","3.2","1.4","22.8","21.1","13.2","21.5","51.9","34.3","30.6","35.6"
"8600000US64106","ZCTA5 64106","4320","290","215","72","66","36","250","78","227","92","(X)","(X)","5.0","1.7","1.5","0.8","5.8","1.8","5.3","2.1","195","98","39","35","0","16","76","51","80","79","4.5","2.3","18.1","15.4","0.0","34.6","30.4","16.8","35.2","29.1"
"8600000US64108","ZCTA5 64108","4416","204","572","123","104","38","91","51","11","14","(X)","(X)","13.0","2.8","2.4","0.8","2.1","1.2","0.2","0.3","214","88","168","83","5","7","35","26","6","11","4.8","2.0","29.4","12.3","4.8","6.6","38.5","26.0","54.5","54.5"
"8600000US64109","ZCTA5 64109","4672","222","315","104","58","28","76","48","36","26","(X)","(X)","6.7","2.2","1.2","0.6","1.6","1.0","0.8","0.5","73","56","61","49","0","16","12","18","0","16","1.6","1.2","19.4","14.0","0.0","37.4","15.8","20.1","0.0","47.5"
"8600000US64110","ZCTA5 64110","7000","257","246","68","290","85","102","41","71","42","(X)","(X)","3.5","0.9","4.1","1.2","1.5","0.6","1.0","0.6","149","62","39","35","56","35","35","30","19","25","2.1","0.9","15.9","13.4","19.3","10.6","34.3","23.3","26.8","30.9"
"8600000US64111","ZCTA5 64111","10084","380","782","225","278","125","246","86","159","117","(X)","(X)","7.8","2.2","2.8","1.2","2.4","0.9","1.6","1.2","245","149","183","138","19","16","21","17","22","34","2.4","1.5","23.4","15.8","6.8","6.9","8.5","7.7","13.8","23.7"
"8600000US64112","ZCTA5 64112","4833","298","115","57","109","47","87","64","77","77","(X)","(X)","2.4","1.2","2.3","1.0","1.8","1.3","1.6","1.6","36","40","0","16","0","16","36","40","0","16","0.7","0.8","0.0","22.7","0.0","23.7","41.4","30.2","0.0","31.1"
"8600000US64113","ZCTA5 64113","4884","162","93","45","193","71","42","36","0","18","(X)","(X)","1.9","0.9","4.0","1.4","0.9","0.7","0.0","0.6","35","40","10","14","0","18","25","32","0","18","0.7","0.8","10.8","16.1","0.0","14.4","59.5","51.5","-","**"
"8600000US64114","ZCTA5 64114","12470","382","458","162","254","87","142","63","148","95","(X)","(X)","3.7","1.3","2.0","0.7","1.1","0.5","1.2","0.8","132","80","75","71","0","21","37","28","20","22","1.1","0.6","16.4","13.5","0.0","11.1","26.1","17.7","13.5","16.4"
"8600000US64116","ZCTA5 64116","7512","393","413","140","194","99","197","87","134","114","(X)","(X)","5.5","1.9","2.6","1.3","2.6","1.2","1.8","1.5","178","101","89","64","13","20","76","68","0","18","2.4","1.3","21.5","13.9","6.7","10.1","38.6","29.8","0.0","19.9"
"8600000US64117","ZCTA5 64117","5716","291","357","116","209","111","177","100","106","70","(X)","(X)","6.2","2.0","3.7","1.9","3.1","1.7","1.9","1.2","226","115","121","80","79","84","17","21","9","14","4.0","2.0","33.9","18.9","37.8","30.1","9.6","13.1","8.5","14.4"
"8600000US64118","ZCTA5 64118","16755","497","736","180","439","154","417","171","334","140","(X)","(X)","4.4","1.1","2.6","0.9","2.5","1.0","2.0","0.8","373","194","113","94","0","24","201","133","59","74","2.2","1.1","15.4","11.5","0.0","6.6","48.2","21.5","17.7","21.0"
"8600000US64119","ZCTA5 64119","11358","375","363","126","236","105","244","119","111","119","(X)","(X)","3.2","1.1","2.1","0.9","2.1","1.0","1.0","1.0","185","125","41","34","43","32","11","17","90","118","1.6","1.1","11.3","9.5","18.2","14.5","4.5","6.6","81.1","36.7"
"8600000US64120","ZCTA5 64120","166","51","40","37","0","11","10","15","0","11","(X)","(X)","24.1","19.6","0.0","16.5","6.0","9.0","0.0","16.5","5","11","5","11","0","11","0","11","0","11","3.0","6.4","12.5","27.8","-","**","0.0","90.1","-","**"
