ZIP-Code,LifeExp
64101,0
64102,0
64105,0
64106,75
64108,73.8
64109,73.8
64110,76.7
64111,76.3
64112,83.5
64113,86.5
64114,80.4
64116,79.4
64117,76.4
64118,78.9
64119,79.8
64120,0
64123,72.3
64124,75.8
64125,0
64126,73.7
64127,71.9
64128,67.9
64129,71.4
64130,69.4
64131,75.9
64132,71
64133,77.9
64134,73.6
64136,0
64137,77
64138,76.1
64139,0
64145,78.2
64146,0
64147,0
64149,0
64151,80.8
64152,78.4
64153,78.5
64154,79.5
64155,79.4
64156,80.5
64157,81.3
64158,74.2
64161,0
64163,0
64164,0
64165,0
64166,0
64167,0
